schema,runId,runIndex,repIndex,capLawHash,pressCUsed,dampUsed,tick,tMs,lateByMs,basin,max1_from,max1_to,max1_absFlux,max2_from,max2_to,max2_absFlux,flux_114_89,flux_114_79,flux_136_89,flux_136_79,flux_89_79,handshake_pending,handshake_applied_tick
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,0,0,0.0,82,82,23,0.067835,82,89,0.064053,0.000067,0.000067,0.031357,0.031357,-0.000000,0,
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,1,200,0.0,82,82,23,0.064956,82,89,0.061339,0.028007,0.028006,0.052867,0.052867,-0.000000,0,
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,2,400,0.0,82,136,89,0.066855,136,79,0.066854,0.047106,0.047106,0.066855,0.066854,-0.000000,1,
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,3,600,0.0,82,136,89,0.075165,136,79,0.075165,0.064907,0.064906,0.075165,0.075165,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,4,800,0.0,82,136,89,0.079255,136,79,0.079255,0.075948,0.075947,0.079255,0.079255,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,5,1000,0.0,82,114,89,0.081931,114,79,0.081931,0.081931,0.081931,0.080264,0.080263,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,6,1200,0.0,82,114,89,0.084194,114,79,0.084194,0.084194,0.084194,0.079073,0.079073,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,7,1400,0.0,82,114,89,0.083776,114,79,0.083776,0.083776,0.083776,0.076361,0.076361,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,8,1600,0.0,82,114,89,0.081478,114,79,0.081478,0.081478,0.081478,0.072644,0.072643,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,9,1800,0.0,82,114,89,0.077913,114,79,0.077912,0.077913,0.077912,0.068308,0.068307,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,10,2000,0.0,82,114,89,0.073541,114,79,0.073541,0.073541,0.073541,0.063641,0.063640,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,11,2200,0.0,82,114,89,0.068709,114,79,0.068709,0.068709,0.068709,0.058853,0.058853,-0.000001,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,12,2400,0.0,82,114,89,0.063670,114,79,0.063670,0.063670,0.063670,0.054091,0.054091,-0.000001,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,13,2600,0.0,82,114,89,0.058607,114,79,0.058607,0.058607,0.058607,0.049459,0.049458,-0.000001,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,14,2800,0.0,82,114,89,0.053650,114,79,0.053650,0.053650,0.053650,0.045029,0.045028,-0.000001,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,15,3000,0.0,82,114,89,0.048887,114,79,0.048886,0.048887,0.048886,0.040847,0.040846,-0.000001,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,16,3200,0.0,82,114,89,0.044373,114,79,0.044373,0.044373,0.044373,0.036939,0.036938,-0.000001,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,17,3400,0.0,82,114,89,0.040145,114,79,0.040144,0.040145,0.040144,0.033316,0.033316,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,18,3600,0.0,82,114,89,0.036217,114,79,0.036216,0.036217,0.036216,0.029981,0.029980,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,19,3800,0.0,82,114,89,0.032595,114,79,0.032594,0.032595,0.032594,0.026927,0.026926,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,20,4000,0.0,82,114,89,0.029274,114,79,0.029274,0.029274,0.029274,0.024143,0.024142,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,21,4200,0.0,82,114,89,0.026244,114,79,0.026244,0.026244,0.026244,0.021615,0.021614,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,22,4400,0.0,82,114,89,0.023492,114,79,0.023491,0.023492,0.023491,0.019326,0.019326,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,23,4600,0.0,82,114,89,0.020999,104,114,0.020999,0.020999,0.020999,0.017261,0.017261,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,24,4800,0.0,82,114,89,0.018749,104,114,0.018748,0.018749,0.018748,0.015401,0.015401,-0.000000,1,3
