schema,runId,runIndex,repIndex,pressCBase,pressCUsed,dampUsed,dt,everyMs,totalTicks,settleTicks,capLawHash,capLawSig,capLawApplied,capLawDtUsed,gain,multB,multD,offset,ampB0,ampD,ratioBD,injectTick114,injectTick136,arbiter_tick,arbiter_edge,arbiter_owner,handshake_tick,handshake_applied,first114Max_tick,first136Max_tick,precedence,deltaTicks,fastFollow,packetClass,peak114_abs,peak136_abs,cross_peakAbs_89_79,visibilityStateStart,wasHidden
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,2.0,2.0,20,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,2,136->89,136,3,1,5,2,136_first,3,1,136_then_114_fast,0.08419448722983018,0.08026368312292444,5.16292940544705e-07,visible,False
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,2.0,2.0,10,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,5,136->89,136,6,1,8,5,136_first,3,1,136_then_114_fast,0.12101532023472515,0.11753123369683396,1.681985927642496e-06,visible,False
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-32-798Z_r00002_d12.000_rep3,2,3,2.0,2.0,12,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,4,136->89,136,5,1,7,4,136_first,3,1,136_then_114_fast,0.11107914706125623,0.10721417517621204,1.2480278487723735e-06,visible,False
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-34-416Z_r00003_d4.000_rep10,3,10,2.0,2.0,4,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,14,136->89,136,15,1,18,14,136_first,4,1,136_then_114_fast,0.16342365032530184,0.1727342904496539,6.282923690762349e-06,visible,False
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-36-035Z_r00004_d6.000_rep10,4,10,2.0,2.0,6,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,9,136->89,136,10,1,13,9,136_first,4,1,136_then_114_fast,0.14725969484470347,0.1482421584653083,3.6497410557998146e-06,visible,False
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-37-657Z_r00005_d6.000_rep3,5,3,2.0,2.0,6,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,9,136->89,136,10,1,13,9,136_first,4,1,136_then_114_fast,0.14725969484470347,0.1482421584653083,3.6497410557998146e-06,visible,False
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-39-282Z_r00006_d4.000_rep2,6,2,2.0,2.0,4,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,14,136->89,136,15,1,18,14,136_first,4,1,136_then_114_fast,0.16342365032530184,0.1727342904496539,6.282923690762349e-06,visible,False
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-40-938Z_r00007_d12.000_rep9,7,9,2.0,2.0,12,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,4,136->89,136,5,1,7,4,136_first,3,1,136_then_114_fast,0.11107914706125623,0.10721417517621204,1.2480278487723735e-06,visible,False
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-42-556Z_r00008_d5.000_rep4,8,4,2.0,2.0,5,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,11,136->89,136,12,1,15,11,136_first,4,1,136_then_114_fast,0.15524238306846075,0.15930391535029495,4.697193830093961e-06,visible,False
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-44-180Z_r00009_d12.000_rep1,9,1,2.0,2.0,12,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,4,136->89,136,5,1,7,4,136_first,3,1,136_then_114_fast,0.11107914706125623,0.10721417517621204,1.2480278487723735e-06,visible,False
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-45-797Z_r00010_d12.000_rep4,10,4,2.0,2.0,12,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,4,136->89,136,5,1,7,4,136_first,3,1,136_then_114_fast,0.11107914706125623,0.10721417517621204,1.2480278487723735e-06,visible,False
