survey,damping,inject_id,inject_label,dominant_basin,dominant_basin_label,final_maxRho,final_entropy,final_mass
baseline,0.2,1,grail,1,grail,11.97705,0.797864,38.499715
baseline,0.2,2,christ,2,christ,28.499415,0.570335,51.19584
baseline,0.2,3,isis,3,isis,9.181359,0.844726,37.805824
baseline,0.2,4,osiris,4,osiris,13.356395,0.756754,38.808833
baseline,0.2,5,earth star,5,earth star,16.269231,0.671026,37.408619
baseline,0.2,6,temple doors,6,temple doors,18.875743,0.756759,53.84672
baseline,0.2,7,numis'om,7,numis'om,24.403611,0.601441,50.325118
baseline,0.2,8,ark,8,ark,12.621817,0.782851,38.640734
baseline,0.2,9,metatron,9,metatron,27.159298,0.575601,50.69084
baseline,0.2,10,venus,10,venus,28.768422,0.562084,51.032438
baseline,0.2,11,orion,11,orion,13.064549,0.772894,38.759257
baseline,0.2,12,eye,12,eye,13.916421,0.746183,37.895169
baseline,0.2,13,loch,13,loch,0.29982,0.98548,32.361405
baseline,0.2,14,maia nartoomid,14,maia nartoomid,17.693627,0.424318,38.755277
baseline,0.2,15,god,15,god,12.451493,0.788947,38.588807
baseline,0.2,16,doors,16,doors,13.118743,0.774188,38.442202
baseline,0.2,17,star lineages,17,star lineages,9.603968,0.50386,38.422941
baseline,0.2,18,adam kadmon,18,adam kadmon,7.026439,0.871649,36.838204
baseline,0.2,19,new earth star,19,new earth star,29.328389,0.528826,50.198787
baseline,0.2,20,horus,20,horus,4.394784,0.917049,36.278376
baseline,0.2,21,skull,21,skull,5.9459,0.845584,36.67279
baseline,0.2,22,christic,22,christic,26.702132,0.606723,51.722307
baseline,0.2,23,light codes,23,light codes,26.084261,0.555951,54.194613
baseline,0.2,24,inner earth,24,inner earth,12.651112,0.783696,38.615635
baseline,0.2,25,blue star,25,blue star,12.831971,0.775808,38.685001
baseline,0.2,26,dna,26,dna,13.608388,0.755577,38.521607
baseline,0.2,27,activation rite,27,activation rite,6.53596,0.54626,37.2039
baseline,0.2,28,akashic practice,28,akashic practice,23.498066,0.445468,54.494001
baseline,0.2,29,pyramid,29,pyramid,13.512329,0.757692,38.368706
baseline,0.2,30,templar,30,templar,17.693627,0.424318,38.755277
baseline,0.2,31,thothhorra,31,thothhorra,30.348363,0.489258,50.850264
baseline,0.2,32,great pyramid,32,great pyramid,7.164607,0.873159,36.950754
baseline,0.2,33,johannine,33,johannine,0.842347,0.974072,33.426148
baseline,0.2,34,crystal skull,34,crystal skull,6.671086,0.821187,36.865884
baseline,0.2,35,mother,35,mother,12.810126,0.778329,38.685363
baseline,0.2,36,templa mar,36,templa mar,1.389542,0.967449,35.474344
baseline,0.2,37,master,37,master,12.5611,0.786031,38.519373
baseline,0.2,38,mystery,38,mystery,12.18921,0.796203,38.514541
baseline,0.2,39,yeshua,39,yeshua,10.039404,0.82486,37.568944
baseline,0.2,40,pure gem,40,pure gem,12.784567,0.779748,38.629468
baseline,0.2,41,lineages,41,lineages,14.763726,0.456544,38.589662
baseline,0.2,42,gate,42,gate,12.563122,0.784926,38.597356
baseline,0.2,43,flame,43,flame,12.835819,0.777176,38.658684
baseline,0.2,44,dweller,44,dweller,10.971812,0.769607,38.311235
baseline,0.2,45,crystal skulls,45,crystal skulls,6.070834,0.839344,36.662072
baseline,0.2,46,atlantis,46,atlantis,12.710528,0.780355,38.653509
baseline,0.2,47,of light,47,of light,13.147645,0.773447,38.435847
baseline,0.2,48,merkabah,48,merkabah,29.222354,0.541322,50.455483
baseline,0.2,49,love,49,love,13.398458,0.764739,38.340836
baseline,0.2,50,grace,50,grace,12.621817,0.782851,38.640734
baseline,0.2,51,rite akashic,51,rite akashic,23.498066,0.445468,54.494001
baseline,0.2,52,temple of,52,temple of,28.874952,0.561429,51.484937
baseline,0.2,53,lion,53,lion,13.290486,0.765528,38.809783
baseline,0.2,54,matter,54,matter,12.679062,0.782228,38.639961
baseline,0.2,55,sun,55,sun,13.093801,0.770468,38.79488
baseline,0.2,56,skulls,56,skulls,6.070834,0.839344,36.662072
baseline,0.2,57,blood,57,blood,12.49146,0.787981,38.596642
