condition,damping,total_probes,same_basin,shifted_basin,stability_pct,baseline_basin_count,post_basin_count,synth_basin_count,original_post_basin_count,surviving_basins,lost_basins,new_basins,jaccard_similarity,baseline_bits,post_bits,delta_bits
extreme,0.2,140,37,103,26.4,112,140,103,37,37,75,0,0.3304,6.81,7.13,0.32
extreme,5.0,140,0,140,0.0,100,140,140,0,0,100,0,0.0,6.64,7.13,0.49
extreme,20.0,140,0,140,0.0,14,140,140,0,0,14,0,0.0,3.81,7.13,3.32
extreme_norm,0.2,140,87,53,62.1,112,136,49,87,86,26,1,0.7611,6.81,7.09,0.28
extreme_norm,5.0,140,15,125,10.7,100,128,114,14,14,86,0,0.14,6.64,7.0,0.36
extreme_norm,20.0,140,133,7,95.0,14,14,0,14,14,0,0,1.0,3.81,3.81,0.0
medium,0.2,140,116,24,82.9,112,119,4,115,108,4,7,0.9076,6.81,6.89,0.09
medium,5.0,140,5,135,3.6,100,12,5,7,7,93,0,0.07,6.64,3.58,-3.06
medium,20.0,140,16,124,11.4,14,9,5,4,4,10,0,0.2857,3.81,3.17,-0.64
medium_norm,0.2,140,134,6,95.7,112,112,0,112,110,2,2,0.9649,6.81,6.81,0.0
medium_norm,5.0,140,107,33,76.4,100,94,1,93,85,15,8,0.787,6.64,6.55,-0.09
medium_norm,20.0,140,136,4,97.1,14,13,0,13,13,1,0,0.9286,3.81,3.7,-0.11
mild,0.2,140,118,22,84.3,112,117,1,116,109,3,7,0.916,6.81,6.87,0.06
mild,5.0,140,0,140,0.0,100,1,1,0,0,100,0,0.0,6.64,0.0,-6.64
mild,20.0,140,16,124,11.4,14,5,1,4,4,10,0,0.2857,3.81,2.32,-1.49
mild_norm,0.2,140,139,1,99.3,112,112,1,111,111,1,0,0.9911,6.81,6.81,0.0
mild_norm,5.0,140,107,33,76.4,100,99,1,98,86,14,12,0.7679,6.64,6.63,-0.01
mild_norm,20.0,140,138,2,98.6,14,14,0,14,14,0,0,1.0,3.81,3.81,0.0
