survey,damping,inject_id,inject_label,dominant_basin,dominant_basin_label,final_maxRho,final_entropy,final_mass
post_mild,0.2,1,grail,synth_9000,synth:grail,0.891646,0.98246,19.324048
post_mild,0.2,2,christ,2,christ,3.306254,0.962586,41.747499
post_mild,0.2,3,isis,3,isis,0.151594,0.991814,18.181221
post_mild,0.2,4,osiris,4,osiris,0.156473,0.991632,18.798529
post_mild,0.2,5,earth star,5,earth star,0.218245,0.989939,19.258236
post_mild,0.2,6,temple doors,6,temple doors,0.351854,0.990158,35.48438
post_mild,0.2,7,numis'om,7,numis'om,0.963806,0.974914,37.676029
post_mild,0.2,8,ark,8,ark,0.157118,0.991639,18.823811
post_mild,0.2,9,metatron,9,metatron,1.717019,0.96929,40.200882
post_mild,0.2,10,venus,10,venus,3.504355,0.960144,41.653621
post_mild,0.2,11,orion,11,orion,0.157789,0.991369,18.865351
post_mild,0.2,12,eye,12,eye,0.165028,0.99123,18.89379
post_mild,0.2,13,loch,synth_9000,synth:grail,0.138452,0.992464,15.706692
post_mild,0.2,14,maia nartoomid,14,maia nartoomid,2.588223,0.626891,28.871811
post_mild,0.2,15,god,15,god,0.156848,0.991648,18.799472
post_mild,0.2,16,doors,16,doors,0.157579,0.991561,18.929348
post_mild,0.2,17,star lineages,17,star lineages,2.297284,0.652628,30.079908
post_mild,0.2,18,adam kadmon,18,adam kadmon,0.150126,0.991859,17.889118
post_mild,0.2,19,new earth star,19,new earth star,4.411263,0.937707,40.976162
post_mild,0.2,20,horus,20,horus,0.146442,0.991986,17.528972
post_mild,0.2,21,skull,31,thothhorra,0.194331,0.990581,17.615959
post_mild,0.2,22,christic,22,christic,1.086015,0.982691,40.881388
post_mild,0.2,23,light codes,23,light codes,2.967653,0.801222,48.630547
post_mild,0.2,24,inner earth,24,inner earth,0.156602,0.991609,18.821019
post_mild,0.2,25,blue star,25,blue star,0.155642,0.991617,18.737116
post_mild,0.2,26,dna,26,dna,0.156204,0.991465,18.875251
post_mild,0.2,27,activation rite,28,akashic practice,2.206351,0.680083,30.132716
post_mild,0.2,28,akashic practice,28,akashic practice,7.108448,0.617792,54.740967
post_mild,0.2,29,pyramid,29,pyramid,0.164852,0.991525,18.972163
post_mild,0.2,30,templar,30,templar,2.588223,0.626891,28.871811
post_mild,0.2,31,thothhorra,31,thothhorra,6.183782,0.891965,42.10463
post_mild,0.2,32,great pyramid,32,great pyramid,0.150061,0.991877,17.966724
post_mild,0.2,33,johannine,33,johannine,0.135457,0.992069,16.277597
post_mild,0.2,34,crystal skull,31,thothhorra,0.204311,0.990183,17.682322
post_mild,0.2,35,mother,35,mother,0.157525,0.991652,18.841598
post_mild,0.2,36,templa mar,36,templa mar,0.143087,0.992092,17.142072
post_mild,0.2,37,master,37,master,0.156971,0.991658,18.803504
post_mild,0.2,38,mystery,38,mystery,0.157076,0.991667,18.771483
post_mild,0.2,39,yeshua,39,yeshua,0.152976,0.991762,18.298086
post_mild,0.2,40,pure gem,40,pure gem,0.156799,0.991601,18.83302
post_mild,0.2,41,lineages,41,lineages,2.579067,0.636875,29.478254
post_mild,0.2,42,gate,42,gate,0.15699,0.991655,18.826711
post_mild,0.2,43,flame,43,flame,0.15852,0.991636,18.85481
post_mild,0.2,44,dweller,44,dweller,0.203805,0.990227,18.351696
post_mild,0.2,45,crystal skulls,31,thothhorra,0.198252,0.990485,17.63207
post_mild,0.2,46,atlantis,46,atlantis,0.15809,0.991642,18.844223
post_mild,0.2,47,of light,47,of light,0.157992,0.991569,18.938206
post_mild,0.2,48,merkabah,48,merkabah,4.050782,0.949763,41.282944
post_mild,0.2,49,love,49,love,0.157274,0.991484,18.945682
post_mild,0.2,50,grace,50,grace,0.157118,0.991639,18.823811
post_mild,0.2,51,rite akashic,51,rite akashic,7.108448,0.617792,54.740967
post_mild,0.2,52,temple of,52,temple of,3.784921,0.954774,42.132091
post_mild,0.2,53,lion,53,lion,0.157509,0.99164,18.881009
post_mild,0.2,54,matter,54,matter,0.156754,0.991614,18.82245
post_mild,0.2,55,sun,55,sun,0.157207,0.991622,18.865808
post_mild,0.2,56,skulls,31,thothhorra,0.198252,0.990485,17.63207
post_mild,0.2,57,blood,57,blood,0.157552,0.991656,18.815583
post_mild,0.2,58,metatronic,58,metatronic,4.083612,0.948975,42.163665
post_mild,0.2,59,tree,59,tree,0.157262,0.991478,18.954717
post_mild,0.2,60,self,60,self,0.156869,0.991663,18.796856
post_mild,0.2,61,old,61,old,0.157074,0.991663,18.813988
post_mild,0.2,62,king,62,king,0.144686,0.99215,17.197691
post_mild,0.2,63,set,63,set,0.156963,0.991657,18.772628
post_mild,0.2,64,john,synth_9000,synth:grail,0.137383,0.99257,15.895814
post_mild,0.2,65,atlantean,65,atlantean,0.157027,0.991688,18.696565
post_mild,0.2,66,jesus,66,jesus,0.143195,0.992161,17.064239
post_mild,0.2,67,spirit heart,67,spirit heart,5.095289,0.919776,40.771079
post_mild,0.2,68,nature,68,nature,0.157033,0.991472,18.929681
post_mild,0.2,69,heart sanctuary,69,heart sanctuary,0.249001,0.990264,19.146195
post_mild,0.2,70,adam,70,adam,0.155048,0.991736,18.301628
post_mild,0.2,71,crystal,71,crystal,0.232309,0.989509,18.976794
post_mild,0.2,72,isis eye,72,isis eye,0.134656,0.992049,16.220633
post_mild,0.2,73,mari,synth_9000,synth:grail,0.144676,0.992178,17.161319
post_mild,0.2,74,egypt,74,egypt,0.157661,0.991632,18.865587
post_mild,0.2,75,central,75,central,0.15278,0.991825,18.254065
post_mild,0.2,76,logos,76,logos,0.156671,0.991666,18.770838
post_mild,0.2,77,temporal alchemy,28,akashic practice,2.206351,0.680083,30.132716
post_mild,0.2,78,knowledge,78,knowledge,0.156535,0.991634,18.78984
post_mild,0.2,79,par,synth_9000,synth:grail,0.160011,0.993938,16.619898
post_mild,0.2,80,city,80,city,0.15252,0.991841,18.262432
post_mild,0.2,81,alchemy star,28,akashic practice,2.206351,0.680083,30.132716
post_mild,0.2,82,johannine grove,synth_9000,synth:grail,0.161989,0.993758,16.964041
post_mild,0.2,83,rose,83,rose,0.153442,0.991755,18.356546
post_mild,0.2,84,mysteries,84,mysteries,0.156779,0.991661,18.778107
post_mild,0.2,85,tehuti,85,tehuti,0.148451,0.991825,17.824945
post_mild,0.2,86,black,86,black,0.157243,0.991659,18.799945
post_mild,0.2,87,crystals,87,crystals,0.157083,0.991658,18.790322
post_mild,0.2,88,prima matra,88,prima matra,0.152482,0.991751,18.287825
post_mild,0.2,89,mystery school,synth_9000,synth:grail,0.160947,0.992863,16.719761
post_mild,0.2,90,christine hayes,synth_9000,synth:grail,0.227736,0.992482,24.730464
post_mild,0.2,91,goddess,91,goddess,0.153079,0.991835,18.194609
post_mild,0.2,92,plain,synth_9000,synth:grail,0.133286,0.992727,15.463034
post_mild,0.2,93,lotus,93,lotus,0.191148,0.990623,18.341718
post_mild,0.2,94,christos,94,christos,0.551835,0.988099,39.232371
post_mild,0.2,95,book,95,book,0.157317,0.991673,18.796651
post_mild,0.2,96,kadmon,96,kadmon,0.150126,0.991859,17.889118
post_mild,0.2,97,queen,97,queen,0.162564,0.991323,18.234648
post_mild,0.2,98,simeon,67,spirit heart,0.151822,0.991745,17.13483
