tick,num_nodes,num_edges,total_mass,mass_variance,kinetic_energy,potential_energy,total_energy,total_momentum_scalar,total_momentum_algebraic,vorticity_global
1,64,2016,45.2,15.4624609375,10308884379.794949,4680.488016355043,10308889060.282965,2880.363925097866,0,0
2,64,2016,86.06080000000011,0.11412790007988338,94108250983.74492,1959.6145459334025,94108252943.35948,9428.410069014406,0,1.6853356824464327
3,64,2016,122.99896320000018,0.4718571585882243,4695187499.356187,3725.718194881441,4695191225.074382,4092.396642554997,0,0.10797374873206968
4,64,2016,156.39106273280018,1.4235554606185694,36096091048.46029,5927.995499337161,36096096976.45579,9630.67586230942,0,0.14600105672613858
5,64,2016,186.57752071045132,0.7607764337538168,6934201456.102536,7325.724761402669,6934208781.827297,11575.429352196024,0,5.189336831236292
6,64,2016,213.86607872224792,27.658800339463937,25446883960.409683,16300.534986750714,25446900260.94467,8630.524082098733,0,3.6954697814343542
7,64,2016,238.5349351649121,23.818136265701018,3434489265.081208,16422.713764435455,3434505687.7949724,24689.99365069863,0,3.4365119884484425
8,64,2016,260.8355813890808,6.445854374927741,50132650774.94869,14438.841795977794,50132665213.79049,23230.936585675932,0,1.7641690634014444
9,96,2048,280.99536557572867,4.690949554606654,629102349.5646216,13305.758337257614,629115655.3229588,20675.93253691993,0,11.090173168814902
10,96,2048,299.2198104804594,7.282853170958369,2124271802.913476,15963.246740425076,2124287766.160216,23583.485447243216,0,0
11,128,2080,315.6947086743348,4.081001591355306,4469452637.258681,13923.158921222031,4469466560.417603,21809.988181622408,0,0
12,128,2080,330.588016641599,5.866343785242383,2743092890.441979,16221.610735692611,2743109112.052715,22650.603333386793,0,0
13,160,2112,344.05156704400537,3.9610220931756146,5173563217.336853,14990.107241667334,5173578207.444095,22185.32840504291,0,0
14,160,2112,356.2226166077803,5.566256717107258,1140337686.283495,17202.475953833156,1140354888.7594488,23349.250047369183,0,0
15,224,2176,367.2252454134337,3.2935201132442735,5927848696.003438,14722.445779483118,5927863418.449218,22397.0809296928,0,0
16,224,2176,377.1716218537446,4.464288066086556,4411549379.997487,16894.581161133403,4411566274.578649,23701.17288492986,0,0.00017651666426606502
17,256,2208,386.16314615578494,2.9467162979502186,6476836279.13899,14839.043299238452,6476851118.18229,23040.678789070436,0,0
18,256,2208,394.2914841248296,4.158412881672025,5519005630.980842,17321.10811334426,5519022952.088955,24176.79057494789,0,0
19,288,2240,401.63950164884585,2.9730524030633636,8251902401.552556,15906.979723984865,8251918308.53228,23620.54184231908,0,2.545704551038303e-09
20,288,2240,408.2821094905567,3.9845533901059857,8960132360.262764,18056.718708607816,8960150416.981472,25324.541278614684,0,0
21,320,2272,414.28702697946335,2.7277641414608382,10204923234.935734,15995.053027527218,10204939229.988762,24272.09387525529,0,2.293522688844006e-09
22,320,2272,419.71547238943486,3.655468610381626,10724975997.599482,18141.766214524676,10724994139.365696,26081.64759761843,0,0
23,352,2304,424.6227870400489,2.546336360638148,11284599749.87391,16104.61434993304,11284615854.48826,24894.06771217167,0,2.21676913934491e-09
24,352,2304,429.0589994842044,3.392058672617603,12317046522.563969,18218.232730348536,12317064740.796698,26770.212829989683,0,0
25,384,2336,433.0693355337209,2.3776373465468352,12236385342.945644,16094.117310593523,12236401437.062956,25360.402323421706,0,0
26,384,2336,436.69467932248386,6.887155034860596,13402686381.97332,22816.434906569873,13402709198.408226,20681.467775877467,0,0
27,448,2400,439.9719901075247,1.8417004521111855,59033326272.46905,14727.068919607224,59033340999.53797,28349.970546960245,0,3.999451430283075e-11
28,448,2400,442.9346790572026,1.2608981001968518,14378618783.847042,13275.137235411798,14378632058.984278,29448.892383302747,0,1.0487685143793109e-08
29,480,2432,445.61294986771134,0.7397219441659251,53919817911.94646,11297.601701489792,53919829209.54816,21881.308079027967,0,4.4101079841597307e-10
30,496,2448,448.0341066804113,2.139362229235684,15360377129.627172,15500.47562372652,15360392630.102797,21530.79745476384,0,3.553071566777144e-05
31,528,2480,450.2228324390914,2.848205190543094,52669294292.293274,17604.23499233423,52669311896.52827,26180.42293484268,0,4.908158606221929e-05
32,544,2496,452.2014405249388,1.242182036447165,109975714515.58765,13611.019329704231,109975728126.60696,35584.25499634799,0,3.782575333095149e-05
33,576,2528,453.99010223454457,0.8646279896137962,73561280578.9357,12049.326609163232,73561292628.26231,26360.81167900961,0,7.755287864703383e-10
34,576,2528,455.6070524200281,2.6760437138160347,18375206208.86317,17413.28117376596,18375223622.144344,24223.22549799708,0,3.652816451301296e-06
35,608,2560,457.0687753877054,3.4552602078014285,62092207335.12014,19823.328539269784,62092227158.44868,30016.700590801884,0,2.0699542981818975e-05
36,624,2576,458.3901729504858,1.321128059330024,127136222938.24596,14341.187423498795,127136237279.43338,38350.48576360327,0,8.9563061428879e-06
37,656,2608,459.58471634723946,0.9527946420894516,82940407167.65343,12719.087136173235,82940419886.74057,27879.32727659324,0,1.4005779703300835e-09
38,656,2608,460.6645835779043,2.5336584048799544,18925763516.5716,17771.902071836485,18925781288.47367,25953.48463859236,0,3.146731916577512e-06
39,688,2640,461.6407835544253,3.0562970176324007,61182840177.11995,19467.23043034724,61182859644.35038,31269.70289516807,0,9.608834533934743e-06
40,688,2640,462.5232683332006,1.358694888302639,132940145065.294,14927.36025840883,132940159992.65424,39979.7333745347,0,8.389417478422302e-06
41,720,2672,463.32103457321296,0.9957605504491076,91794170137.878,13207.89705106517,91794183345.77504,29372.115121159113,0,6.625257613616681e-10
42,720,2672,464.0422152541847,2.7235911541861366,18266663595.346767,18926.46229310379,18266682521.80906,26918.151110470983,0,4.340112651846084e-06
43,768,2720,464.6941625897831,1.4086752339992823,66556774446.48184,15009.83325571774,66556789456.315094,32389.610628795337,0,1.2123082806580868e-06
44,768,2720,465.28352298116465,1.3284346679691168,36056940273.776,14671.539030452528,36056954945.31503,24303.030488514923,0,6.977277481538472e-07
45,816,2768,465.816304774972,0.7112271136793253,45395735214.44354,11641.758583030767,45395746856.202126,19692.81308132002,0,1.0025573567865498e-06
46,816,2768,466.2979395165757,0.8629469836990769,36287182409.74359,12803.21720576394,36287195212.9608,23229.908829262866,0,7.632781105812542e-07
47,880,2832,466.7333373229838,0.5418649898511712,43475903946.042625,10824.74143764615,43475914770.784065,19619.43203964847,0,1.0235399875671342e-06
48,880,2832,467.1269369399767,0.7632529125023495,35878634668.388374,12451.395234393998,35878647119.78361,22999.80205867054,0,8.439439837269635e-07
49,944,2896,467.48275099374,0.491274291130559,41376491574.050995,10467.00678915482,41376502041.057785,19509.7908517999,0,7.214908124283159e-07
50,944,2896,467.8044068983404,0.7466618824470893,35389165786.16108,12414.53324300389,35389178200.69432,22594.45415468714,0,9.830114750392364e-07
51,992,2944,468.0951838361004,0.5192838388072842,40058790652.50642,10668.606786055929,40058801321.113205,19463.447059174567,0,6.445016742326639e-07
52,992,2944,468.3580461878352,0.7908571876956243,34742680200.15274,12819.024020528635,34742693019.17676,22192.980262618126,0,7.399579282224435e-07
53,1024,2976,468.5956737538026,0.5926285629342116,39224730789.71608,11428.922777351729,39224742218.638855,19440.652928822805,0,9.087183235592436e-07
54,1024,2976,468.8104890734372,0.8704598848176095,35247673384.45947,13659.522955269942,35247687043.98243,22265.88316583318,0,1.0219512900083763e-06
55,1056,3008,469.0046821223876,0.6556601223999527,39055142166.88207,12122.448206585035,39055154289.33028,19485.618226389342,0,1.0300466014192411e-06
56,1056,3008,469.1802326386378,0.9242146846217296,34929436688.20991,14217.174012879294,34929450905.38392,22212.325094922264,0,4.800542277757198e-07
57,1088,3040,469.3389303053292,0.7036181373251683,38185070626.17551,12657.13866022421,38185083283.31416,19276.07640682297,0,8.964881257128961e-07
58,1088,3040,469.4823929960169,0.9776791726372632,34821294653.80325,14903.538651501958,34821309557.3419,21956.131178608965,0,1.1437999256939953e-06
59,1120,3072,469.6120832683988,0.7464979731952079,38212075313.03362,13216.467336588872,38212088529.50096,19390.813753199305,0,1.1203018711074089e-06
60,1120,3072,469.7293232746332,1.0088580068135529,81614100416.28139,15315.035552320574,81614115731.31694,31193.826230586787,0,1.0985935610557473e-13
61,1152,3104,469.83530824026815,2.0835835871500907,55671793515.921425,20032.63188490129,55671813548.55331,26868.61258593996,0,4.714045764468248e-06
62,1152,3104,469.9311186492022,1.8109660230967064,19971858434.14298,18866.55894126454,19971877300.70192,47142.86756867357,0,2.343659755422034e-06
63,1216,3168,470.0177312588792,0.540558931923647,90197775433.1268,11386.52229141826,90197786819.6491,28162.106221710077,0,2.77737437262614e-09
64,1216,3168,470.0960290580268,0.6127158697406663,32789976623.266296,12231.311959797122,32789988854.578255,23457.55278569729,0,5.821121346914737e-14
65,1280,3232,470.16681026845595,0.777973807546677,42632435667.87333,13658.207691788097,42632449326.081024,21701.97177270236,0,2.3334661396701156e-06
66,1280,3232,470.23079648268504,0.7383900475760539,20183138165.009064,13289.187894265286,20183151454.196957,40701.096107852245,0,1.5283183741130448e-06
67,1376,3328,470.2886400203467,0.2837684648581882,63896736980.10869,8838.704484281461,63896745818.81317,22879.073595716894,0,1.3368514021341156e-10
68,1376,3328,470.3409305783937,0.3849236250189012,30385988933.18836,10066.346773303923,30385998999.535133,23213.676806384265,0,4.110022977395035e-12
69,1424,3376,470.3882012428679,0.508816786220635,43369606800.60129,11154.095651528867,43369617954.69694,22280.645557210017,0,1.850538183719349e-06
70,1424,3376,470.43093392355286,0.6861511532829775,18493652218.38393,12810.00567915328,18493665028.38961,39218.02129633007,0,1.221972271173858e-06
71,1472,3424,470.46956426689025,0.37937318639091383,73590792824.53394,9980.95448745859,73590802805.48842,25225.664839548142,0,3.7769836720095127e-10
72,1472,3424,470.5044860972696,0.4761417455531075,31153373955.617622,11265.957530216458,31153385221.575157,23724.216837960663,0,2.1612237217344025e-12
73,1520,3472,470.5360554319307,0.5330623448712719,44556115421.78282,11881.916188410749,44556127303.69901,22291.09420545878,0,1.1344586881308534e-06
74,1520,3472,470.5645941104664,0.5675594374436886,18731752441.773296,12136.848193331674,18731764578.62149,40182.02097087645,0,1.0519109495223447e-06
75,1568,3520,470.5903930758616,0.3274837669534697,68267563850.50228,9633.346348813728,68267573483.84863,24066.370669886168,0,2.707217415964712e-09
76,1568,3520,470.6137153405791,0.42076432787036455,30899909336.834877,10975.879468391528,30899920312.714344,23798.087687598927,0,1.123779909516216e-12
77,1616,3568,470.6347986678827,0.4687119062934871,45456750411.16199,11371.011305188227,45456761782.173294,22798.766402737212,0,1.0800764953448432e-06
78,1632,3584,470.6538579957667,0.3700607109467105,18188534868.486115,10199.941788697764,18188545068.427902,39645.02764682706,0,2.8683221820559125e-10
79,1664,3616,470.67108762817287,0.307214539790136,44566276761.62792,9645.280498425804,44566286406.90842,15224.914125693796,0,1.6206997640155245e-07
80,1680,3632,470.6866632158684,0.33894296886930525,19961324919.347847,10094.70273438649,19961335014.050583,17851.173304526703,0,1.1395234480802329e-07
81,1712,3664,470.7007435471439,0.2568960808301216,37466201045.68623,9048.31003792054,37466210093.99627,15025.08670119549,0,1.168572499762358e-07
82,1712,3664,470.71347216661735,0.3811468208084096,19958135532.931515,10930.527396363355,19958146463.45891,17346.950400306065,0,2.029835639648961e-07
83,1744,3696,470.72497883862354,0.299238006285623,35046177461.18082,9887.5920239804,35046187348.77284,14712.442120677257,0,1.4101067845958453e-07
84,1760,3712,470.735380870115,0.4192605228114645,20334068583.90326,11575.90126363396,20334080159.804523,16904.07368186337,0,1.5469065433491932e-07
85,1776,3728,470.7447843065837,0.3278785574537037,32254057731.91308,10379.370933051196,32254068111.28401,14218.03239862554,0,1.5144390698986106e-07
86,1776,3728,470.7532850131517,0.48222991455922265,21257279710.887978,12527.08015658454,21257292237.968132,16984.348904720253,0,1.4173192983010774e-07
87,1776,3728,470.76096965189,0.37158027841854,47671500423.21348,11060.07844417633,47671511483.29192,15773.110252491406,0,3.861983649477652e-07
88,1728,3680,470.76791656530736,0.4760286605330851,27662908457.80984,12417.744771315558,27662920875.55461,16319.96875365044,0,1.8760956086852237e-07
89,1728,3680,470.7741965750399,0.42477359923600977,25907582361.900455,11641.673740264663,25907594003.574196,15507.23169491624,0,1.1061885568500785e-07
90,1728,3680,470.6993014275477,0.3855132785759657,25857710229.67171,11104.589513401796,25857721334.261223,16090.220895088372,0,1.5582699060803074e-07
91,1744,3696,470.71216849050296,0.3708573474490472,30652905891.821423,11006.6672286068,30652916898.488655,15304.23857742396,0,1.710195573308149e-07
92,1738,3690,470.6460430787304,0.3516214732966424,24621060515.044422,10609.78011018853,24621071124.824535,16164.701437115766,0,1.7437366303878732e-07
93,1746,3698,470.66402294317186,0.3869401529490965,30083479808.43163,11213.301481185566,30083491021.73311,16191.190508400174,0,0.08076700968543861
94,1699,3651,470.1587497980121,0.5620342360600626,26191805913.243774,12389.345673547485,26191818302.589447,16861.42855705157,0,0.061035115371036994
95,1739,3691,470.22350981740306,0.7864014925349249,27129528840.68883,14823.427598176751,27129543664.11643,28208.861798700844,0,0.18363713488282743
96,1723,3675,470.11531322971587,0.7480768900237955,41289968789.20292,14219.42737235853,41289983008.630295,39526.905025797045,0,0.020454211684770893
97,1771,3723,470.1842431596637,0.3689299765389952,93285469586.32576,10459.074062647864,93285480045.39984,33339.02894485141,0,0.25551511591612525
98,1755,3707,470.0805557081145,0.32536921911630134,44647262076.22485,9764.077150842377,44647271840.302,23598.37549887226,0,6.4493932155655125e-09
99,1806,3758,470.15282236013496,0.3542314905856929,10640436951.98159,10226.868563605693,10640447178.850151,20877.36365389234,0,0.0024273867258607948
100,1805,3757,470.0525488496147,0.34268548871072607,36035784034.259476,9944.50511959616,36035793978.764595,29713.68265415421,0,0.001993284584131639
101,1858,3810,470.12750416005304,0.22073853276380737,59061808033.44899,8349.273866560794,59061816382.722855,28146.560168786797,0,3.3220719052337e-07
102,1839,3791,470.0298759443584,0.20286122749995025,43662479528.391174,7968.449973487917,43662487496.84115,23382.29570736808,0,4.406944066263675e-09
103,1873,3825,470.10700785370017,0.2224483295918656,7686929796.895818,8178.657720205587,7686937975.553538,21439.38450097261,0,0.000991901294903963
104,1848,3800,470.01146357600345,0.3424984791506359,35578926613.458115,9988.549036715967,35578936602.00715,28310.071266655206,0,0.0005748850664379866
105,1900,3852,470.0903630727077,0.1792687401451196,67864224032.5276,7497.9276360587055,67864231530.45523,30075.069566546772,0,0.2611230417447199
106,1876,3828,469.99647960912046,0.1814693058892922,41475661270.27637,7549.977302073859,41475668820.25367,23000.064995674376,0,1.129622182387986e-09
107,1917,3869,470.07681756664545,0.2743109443534421,40899659610.40398,9066.312103118627,40899668676.71608,21202.3230065158,0,0.0005947878277490956
108,1893,3845,469.9842683897948,0.3621986130558701,35419504329.07451,10314.222719539475,35419514643.297226,28838.42905495735,0,0.0006380751442273754
109,1956,3908,470.06577862437393,0.2246036417883891,64332784042.644875,8151.087081979975,64332792193.73196,27823.711386744813,0,3.5532069342048814e-08
110,1938,3890,469.97430741057497,0.20882153482541857,39441468744.74588,7951.470356651086,39441476696.21624,22225.504136918116,0,1.6966438407171679e-09
111,1950,3902,470.05677389915905,0.26963469109427834,42298983242.59544,9092.055023013609,42298992334.65046,21458.574875151804,0,0.0004363524714091997
112,1911,3863,469.96617690470765,0.4367320308380503,35270533192.0559,11372.707172573942,35270544564.76308,28335.363937365677,0,0.0001838201049277405
113,1943,3895,470.04942392185575,0.31230833227271476,82660001940.86108,9688.998332136,82660011629.85942,30390.834778474888,0,2.683135018530335e-07
114,1926,3878,469.9595377449074,0.27597706830497737,34749809092.56355,9210.82473019856,34749818303.38828,21279.40652633719,0,3.7714548807567644e-09
115,1980,3932,470.0434221213957,0.2605234701000705,50001412862.93082,8896.630670525432,50001421759.561485,21642.098516640945,0,0.21362148092912756
116,1962,3914,469.95411490831566,0.3447657503626636,35246360696.794586,9662.913426545902,35246370359.708015,20585.308758190935,0,3.60223016314386e-09
117,1989,3941,470.03851987711704,0.33959607367312195,46963133543.20746,9824.834355694356,46963143368.04182,21505.205319165343,0,2.3814870317414328e-09
118,1975,3927,469.9495979347228,0.32045820697766214,21948400204.80651,9763.524552880235,21948409968.331062,20118.2435937109,0,3.2692027390462492e-09
