schema,runId,runIndex,repIndex,capLawHash,pressCUsed,dampUsed,want_basin_id,latched_basin,psi_trim,tick,tMs,lateByMs,basin,max1_from,max1_to,max1_absFlux,max2_from,max2_to,max2_absFlux,flux_114_89,flux_114_79,flux_136_89,flux_136_79,flux_89_79,handshake_pending,handshake_applied_tick
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,0,0,0.0,82,90,114,0.246155,90,89,0.245998,0.000463,0.000461,0.034308,0.034306,-0.000002,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,1,200,0.0,82,90,89,0.243047,90,79,0.243045,0.031242,0.031240,0.063207,0.063204,-0.000002,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,2,400,0.0,82,90,89,0.239347,90,79,0.239345,0.057188,0.057186,0.087419,0.087417,-0.000002,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,3,600,0.0,82,90,89,0.235027,90,79,0.235024,0.078900,0.078898,0.107535,0.107533,-0.000003,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,4,800,0.0,82,90,89,0.230198,90,79,0.230195,0.096909,0.096906,0.124076,0.124073,-0.000003,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,5,1000,0.0,82,90,89,0.224959,90,79,0.224957,0.111681,0.111678,0.137498,0.137495,-0.000003,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,6,1200,0.0,82,90,89,0.219397,90,79,0.219394,0.123631,0.123628,0.148208,0.148205,-0.000003,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,7,1400,0.0,82,90,89,0.213584,90,79,0.213581,0.133123,0.133120,0.156560,0.156557,-0.000003,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,8,1600,0.0,82,90,89,0.207586,90,79,0.207583,0.140482,0.140478,0.162871,0.162868,-0.000003,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,9,1800,0.0,82,90,89,0.201459,90,79,0.201456,0.145989,0.145986,0.167416,0.167412,-0.000004,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,10,2000,0.0,82,90,89,0.195252,90,79,0.195249,0.149898,0.149894,0.170438,0.170434,-0.000004,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,11,2200,0.0,82,90,89,0.189006,90,79,0.189002,0.152429,0.152425,0.172152,0.172148,-0.000004,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,12,2400,0.0,82,90,89,0.182719,90,79,0.182715,0.153777,0.153772,0.172734,0.172730,-0.000004,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,13,2600,0.0,82,90,89,0.176412,90,79,0.176408,0.154112,0.154108,0.172344,0.172340,-0.000004,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,14,2800,0.0,82,136,89,0.171128,136,79,0.171124,0.153587,0.153583,0.171128,0.171124,-0.000005,1,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,15,3000,0.0,82,136,89,0.169214,136,79,0.169210,0.158433,0.158428,0.169214,0.169210,-0.000005,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,16,3200,0.0,82,136,89,0.166716,136,79,0.166711,0.161716,0.161711,0.166716,0.166711,-0.000005,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,17,3400,0.0,82,136,89,0.163732,136,79,0.163727,0.163656,0.163650,0.163732,0.163727,-0.000005,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,18,3600,0.0,82,114,89,0.164444,114,79,0.164438,0.164444,0.164438,0.160350,0.160345,-0.000005,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,19,3800,0.0,82,114,89,0.164249,114,79,0.164244,0.164249,0.164244,0.156645,0.156640,-0.000005,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,20,4000,0.0,82,114,89,0.163222,114,79,0.163216,0.163222,0.163216,0.152683,0.152678,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,21,4200,0.0,82,114,89,0.161492,114,79,0.161486,0.161492,0.161486,0.148524,0.148519,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,22,4400,0.0,82,114,89,0.159174,114,79,0.159168,0.159174,0.159168,0.144217,0.144211,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,23,4600,0.0,82,114,89,0.156368,114,79,0.156362,0.156368,0.156362,0.139805,0.139800,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,24,4800,0.0,82,114,89,0.153163,114,79,0.153157,0.153163,0.153157,0.135328,0.135322,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,25,5000,0.0,82,114,89,0.149635,114,79,0.149629,0.149635,0.149629,0.130816,0.130810,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,26,5200,0.0,82,114,89,0.145850,114,79,0.145844,0.145850,0.145844,0.126298,0.126293,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,27,5400,0.0,82,114,89,0.141868,114,79,0.141862,0.141868,0.141862,0.121799,0.121793,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,28,5600,0.0,82,114,89,0.137738,114,79,0.137731,0.137738,0.137731,0.117337,0.117332,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,29,5800,0.0,82,114,89,0.133503,114,79,0.133497,0.133503,0.133497,0.112931,0.112925,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,30,6000,0.0,82,114,89,0.129203,114,79,0.129196,0.129203,0.129196,0.108595,0.108589,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,31,6200,0.0,82,114,89,0.124868,114,79,0.124862,0.124868,0.124862,0.104347,0.104341,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,32,6400,0.0,82,114,89,0.120527,114,79,0.120521,0.120527,0.120521,0.100211,0.100205,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,33,6600,0.0,82,114,89,0.116203,114,79,0.116197,0.116203,0.116197,0.096191,0.096185,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,34,6800,0.0,82,114,89,0.111917,114,79,0.111910,0.111917,0.111910,0.092288,0.092283,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,35,7000,0.0,82,114,89,0.107684,114,79,0.107677,0.107684,0.107677,0.088506,0.088500,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,36,7200,0.0,82,114,89,0.103519,114,79,0.103513,0.103519,0.103513,0.084845,0.084839,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,37,7400,0.0,82,114,89,0.099434,114,79,0.099427,0.099434,0.099427,0.081304,0.081299,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,38,7600,0.0,82,114,89,0.095437,114,79,0.095431,0.095437,0.095431,0.077884,0.077879,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,39,7800,0.0,82,114,89,0.091537,114,79,0.091531,0.091537,0.091531,0.074584,0.074578,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,40,8000,0.0,82,114,89,0.087740,114,79,0.087734,0.087740,0.087734,0.071402,0.071396,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,41,8200,0.0,82,114,89,0.084049,114,79,0.084043,0.084049,0.084043,0.068336,0.068331,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,42,8400,0.0,82,114,89,0.080469,114,79,0.080463,0.080469,0.080463,0.065385,0.065379,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,43,8600,0.0,82,114,89,0.077001,114,79,0.076995,0.077001,0.076995,0.062545,0.062540,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,44,8800,0.0,82,114,89,0.073647,114,79,0.073641,0.073647,0.073641,0.059815,0.059810,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,45,9000,0.0,82,114,89,0.070408,114,79,0.070402,0.070408,0.070402,0.057192,0.057187,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,46,9200,0.0,82,114,89,0.067282,114,79,0.067276,0.067282,0.067276,0.054670,0.054665,-0.000006,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,47,9400,0.0,82,114,89,0.064270,114,79,0.064264,0.064270,0.064264,0.052241,0.052236,-0.000005,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,48,9600,0.0,82,114,89,0.061370,114,79,0.061365,0.061370,0.061365,0.049904,0.049899,-0.000005,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,49,9800,0.0,82,114,89,0.058581,114,79,0.058576,0.058581,0.058576,0.047657,0.047652,-0.000005,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,50,10000,0.0,82,114,89,0.055901,114,79,0.055896,0.055901,0.055896,0.045497,0.045492,-0.000005,1,15
