schema,runId,runIndex,repIndex,pressCBase,pressCUsed,dampUsed,want_basin_id,latched_basin,psi_trim,dt,everyMs,totalTicks,settleTicks,capLawHash,capLawSig,capLawApplied,capLawDtUsed,gain,multB,multD,offset,ampB0,ampD,ratioBD,injectTick114,injectTick136,arbiter_tick,arbiter_edge,arbiter_owner,handshake_tick,handshake_applied,first114Max_tick,first136Max_tick,precedence,deltaTicks,fastFollow,packetClass,peak114_abs,peak136_abs,cross_peakAbs_89_79,visibilityStateStart,wasHidden
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,2.0,2.0,4.0,82,82,0.05,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,14,136->89,136,15,1,18,14,136_first,4,1,136_then_114_fast,0.16444358325157424,0.17273421205195114,6.291226182091674e-06,visible,False
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,2.0,2.0,6.0,90,90,0.05,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,14,136->89,136,15,1,17,14,136_first,3,1,136_then_114_fast,0.13257682641910937,0.14824112377383664,3.6642923513861065e-06,visible,False
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-51-614Z_r00002_d10.000_b90_t-0.05_rep3,2,3,2.0,2.0,10.0,90,90,-0.05,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,7,136->89,136,8,1,10,7,136_first,3,1,136_then_114_fast,0.11628384673572567,0.11753072758534731,1.6968537849782736e-06,visible,False
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-53-224Z_r00003_d15.000_b90_t+0.05_rep1,3,1,2.0,2.0,15.0,90,90,0.05,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,4,136->89,136,5,1,7,4,136_first,3,1,136_then_114_fast,0.09852629621667088,0.09499989804905179,8.684181444856362e-07,visible,False
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-54-849Z_r00004_d10.000_b90_t-0.15_rep3,4,3,2.0,2.0,10.0,90,90,-0.15,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,7,136->89,136,8,1,10,7,136_first,3,1,136_then_114_fast,0.11484276926681894,0.11753077473629858,1.6922396841166344e-06,visible,False
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-56-493Z_r00005_d10.000_b82_t-0.15_rep1,5,1,2.0,2.0,10.0,82,82,-0.15,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,5,136->89,136,6,1,9,5,136_first,4,1,136_then_114_fast,0.11877185030143274,0.11753130590545419,1.6748732096211332e-06,visible,False
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-58-140Z_r00006_d10.000_b90_t-0.05_rep1,6,1,2.0,2.0,10.0,90,90,-0.05,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,7,136->89,136,8,1,10,7,136_first,3,1,136_then_114_fast,0.11628384673572567,0.11753072758534731,1.6968537849782736e-06,visible,False
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-59-805Z_r00007_d6.000_b90_t+0.15_rep1,7,1,2.0,2.0,6.0,90,90,0.15,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,14,136->89,136,15,1,16,14,136_first,2,1,136_then_114_fast,0.1342354950630618,0.1482410289193625,3.6736836902972882e-06,visible,False
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-46-01-446Z_r00008_d10.000_b90_t+0.00_rep1,8,1,2.0,2.0,10.0,90,90,0.0,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,7,136->89,136,8,1,10,7,136_first,3,1,136_then_114_fast,0.11701113904744366,0.11753070378799452,1.6991824514129082e-06,visible,False
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-46-03-072Z_r00009_d15.000_b90_t-0.05_rep2,9,2,2.0,2.0,15.0,90,90,-0.05,0.12,200,61,3,9dbcb7d6,"{""enabled"": true, ""lawFamily"": ""power"", ""proxy"": ""degree"", ""alpha"": 0.8, ""k0"": null, ""dt0"": 0.12, ""kDtGamma"": 0.0, ""lambda"": 0.0, ""clampMin"": 0.25, ""clampMax"": 5000.0, ""anchor"": {""nodeId"": 89, ""smRef"": 3774.0}, ""includeBackgroundEdges"": false, ""writeTo"": ""both""}",true,0.12,22,1.144,1.0,1,100.672,126.5,0.7958260869565217,1,0,4,136->89,136,5,1,7,4,136_first,3,1,136_then_114_fast,0.0973041865544296,0.09499991976139896,8.657990255822784e-07,visible,False
