activeCount,avgRho,condition,entropy,mass,maxFluxAbs,maxRho,param_c_press,param_damping,param_dt,param_rng_seed,rep,rhoMaxId,step,t,totalFlux,vortNorm_global,vortNorm_global_ema
3,0.3547932742848401,baseline,0.027895353008215197,49.67105839987761,0.2986150229014345,48.863846893457236,0.1,0.2,0.12,42,0,1,10,1.2000000000000002,3.166212883368599,0.0,0.0
4,0.353002933959037,baseline,0.07536870448093096,49.42041075426518,0.37723291073639015,47.18959412109239,0.1,0.2,0.12,42,0,1,20,2.4000000000000012,4.936850230950399,0.0,0.0
4,0.35073222196673437,baseline,0.12307444293916968,49.10251107534281,0.4057620550230165,45.33467460674154,0.1,0.2,0.12,42,0,1,30,3.6000000000000023,5.541340439142582,0.0,0.0
5,0.34729839851598276,baseline,0.16623993510754156,48.621775792237585,0.41826571171133675,43.4190708146898,0.1,0.2,0.12,42,0,1,40,4.800000000000003,6.002784158289168,0.0,0.0
5,0.34459841548228426,baseline,0.21235905594710652,48.24377816751979,0.4263448266266602,41.475471864031626,0.1,0.2,0.12,42,0,1,50,6.000000000000004,6.170898468329613,0.0,0.0
11,0.3419901887615479,baseline,0.2581379269869353,47.878626426616705,0.43245597220228177,39.51444435286221,0.1,0.2,0.12,42,0,1,60,7.2000000000000055,6.340207614194147,0.0,0.0
20,0.33794175530229054,baseline,0.2985888364248903,47.31184574232068,0.4378133043962567,37.54050555589561,0.1,0.2,0.12,42,0,1,70,8.400000000000004,6.460105669363238,0.0,0.0
30,0.333632363164648,baseline,0.3384002763625131,46.708530843050724,0.44255754272180126,35.5562227048779,0.1,0.2,0.12,42,0,1,80,9.599999999999996,6.62446867607183,0.0,0.0
48,0.3304549230385908,baseline,0.38172391068534733,46.263689225402715,0.4467121335864684,33.56371634087422,0.1,0.2,0.12,42,0,1,90,10.799999999999988,6.676381839136737,0.0,0.0
78,0.32656174932715304,baseline,0.4226793516216592,45.718644905801426,0.45012783860396177,31.56558837567519,0.1,0.2,0.12,42,0,1,100,11.99999999999998,6.738121160867062,0.0,0.0
96,0.3210498403631241,baseline,0.459364433968438,44.946977650837376,0.45295238273338545,29.564553070908964,0.1,0.2,0.12,42,0,1,110,13.199999999999973,6.827651107308179,0.0,0.0
99,0.31690314182666884,baseline,0.49986113163724727,44.36643985573364,0.4551469059771316,27.563134961314272,0.1,0.2,0.12,42,0,1,120,14.399999999999965,6.879676327084712,0.0,0.0
106,0.31301106086468905,baseline,0.5406986303239069,43.821548521056464,0.4564527086136982,25.56435134272065,0.1,0.2,0.12,42,0,1,130,15.599999999999957,6.894905988127074,0.0,0.0
107,0.30739162760159644,baseline,0.5775790123672916,43.0348278642235,0.4568978257384473,23.571758841951052,0.1,0.2,0.12,42,0,1,140,16.79999999999996,6.914807442740094,0.0,0.0
114,0.301641335461033,baseline,0.614371544249038,42.22978696454462,0.4565240567200265,21.58887152200103,0.1,0.2,0.12,42,0,1,150,17.99999999999997,6.965457352471231,0.0,0.0
120,0.29727981232392214,baseline,0.653710444058002,41.6191737253491,0.45508651331101835,19.619490093243588,0.1,0.2,0.12,42,0,1,160,19.19999999999998,6.925364302980669,0.0,0.0
122,0.29196557967122183,baseline,0.690877040713256,40.875181153971056,0.45235901093376785,17.668350754527808,0.1,0.2,0.12,42,0,1,170,20.39999999999999,6.887660187095759,0.0,0.0
124,0.28515854999949153,baseline,0.7253822911023892,39.922196999928815,0.4483667101696729,15.74068298150513,0.1,0.2,0.12,42,0,1,180,21.6,6.875271821704436,0.0,0.0
127,0.27991775715051853,baseline,0.7618998757703457,39.1884860010726,0.4428818887669743,13.8421512811615,0.1,0.2,0.12,42,0,1,190,22.80000000000001,6.815352549515366,0.0,0.0
128,0.27500522140466355,baseline,0.7978123462509696,38.5007309966529,0.4354138374570679,11.979741921703805,0.1,0.2,0.12,42,0,1,200,24.00000000000002,6.700675046441059,0.0,0.0
128,0.2681446436534661,baseline,0.8303438764241342,37.54025011148525,0.4256899044488878,10.16206254907011,0.1,0.2,0.12,42,0,1,210,25.20000000000003,6.585038679926572,0.0,0.0
128,0.26145549764811077,baseline,0.86192945228723,36.60376967073551,0.413311205987751,8.399217614815706,0.1,0.2,0.12,42,0,1,220,26.40000000000004,6.466158958374805,0.0,0.0
128,0.25623698409957263,baseline,0.8929468480656113,35.87317777394017,0.39735626497249554,6.703920372575054,0.1,0.2,0.12,42,0,1,230,27.60000000000005,6.234858386245179,0.0,0.0
128,0.25015898542809173,baseline,0.9205854741753705,35.022257959932844,0.37434451802423024,5.096764856527061,0.1,0.2,0.12,42,0,1,240,28.80000000000006,5.939202732064152,0.0,0.0
128,0.24280115979856584,baseline,0.9440255056783656,33.99216237179922,0.3417316103032318,3.61588249955754,0.1,0.2,0.12,42,0,1,250,30.00000000000007,5.562337311983227,0.0,0.0
128,0.23719835592169533,baseline,0.9638591446269034,33.207769829037346,0.299483898540759,2.29925241687678,0.1,0.2,0.12,42,0,1,260,31.20000000000008,5.030632114218015,0.0,0.0
128,0.2317630602366155,baseline,0.9778198887702546,32.44682843312617,0.2436282881397811,1.193886815261188,0.1,0.2,0.12,42,0,1,270,32.40000000000008,4.315015866607204,0.0,0.0
128,0.22499571502190494,baseline,0.9844052228243247,31.49940010306669,0.16560781314563497,0.6029412843691848,0.1,0.2,0.12,42,0,132,280,33.60000000000005,3.368623854100777,0.0,0.0
127,0.21908950400842964,baseline,0.9842720960748209,30.67253056118015,0.05494807902935441,0.5004546885313705,0.1,0.2,0.12,42,0,132,290,34.800000000000026,2.0934614780815703,0.0,0.0
127,0.21423933853782348,baseline,0.9857308646222591,29.993507395295286,0.023857613783649763,0.38225099044694194,0.1,0.2,0.12,42,0,132,300,36.0,1.311384273631034,0.0,0.0
127,0.20886133067764842,baseline,0.9872733398873601,29.240586294870777,0.01996313845718025,0.29392305926002316,0.1,0.2,0.12,42,0,132,310,37.199999999999974,1.0494995973591421,0.0,0.0
127,0.20327529345470907,baseline,0.9879045385403568,28.45854108365927,0.01585364049963164,0.25706680781160135,0.1,0.2,0.12,42,0,43,320,38.39999999999995,0.8001507920079103,0.0,0.0
127,0.1983944803159431,baseline,0.9883146332888145,27.77522724423203,0.015301137642053254,0.24222992360711892,0.1,0.2,0.12,42,0,43,330,39.59999999999992,0.6585835636685244,0.0,0.0
