tick,n1,n2,total_mass
1,32,32,1.6606210596438112e-14
2,32,32,3.254087586597657
3,32,32,9.447996086996984
4,33,32,18.173810804267863
5,33,32,22.81606101979925
6,34,32,29.97562518210271
7,35,32,37.39907316697691
8,36,32,43.048304342575705
9,38,32,52.87241098851332
10,39,32,58.3301430170016
11,41,32,83.75461059444304
12,42,32,111.09818045969656
13,42,32,100.43275513556584
14,42,32,94.43080192587657
15,89,32,130.07458410198834
16,89,32,165.355698364021
17,100,32,200.281670954604
18,109,32,230.28660859746157
19,134,32,259.4772899975643
20,146,32,290.37304927631726
21,200,32,320.8327039397024
22,219,32,351.2193004102282
23,275,32,382.4828288006208
24,296,32,404.9783656571181
25,354,32,437.0761792909201
26,374,32,467.2159401233516
27,447,32,496.102646894414
28,461,32,526.8161406034461
29,523,35,546.7594525844758
30,551,35,575.759839033096
31,605,35,607.8561556364524
32,640,35,635.6167283981783
33,687,35,664.2362387023709
34,735,35,696.1421279370139
35,788,35,727.5424541225078
36,839,35,754.4953242145975
37,884,35,785.088492402996
38,936,35,814.4807091107198
39,987,35,841.8356057313348
40,1036,35,869.9963319592891
41,1090,35,890.1376611255649
42,1123,35,916.6154459321086
43,1179,35,943.1854935905952
44,1219,35,965.3963996279364
45,1280,35,990.3704664074075
46,1319,35,1014.8099026950993
47,1377,35,1035.0427579934994
48,1418,35,1057.9955044198157
49,1466,35,1080.2970145434915
50,1504,35,1096.634669634594
51,1561,35,1117.5219175238103
52,1587,35,1137.7357457063806
53,1637,35,1155.5561502023445
54,1673,35,1174.137651510421
55,1726,35,1191.9159435651577
56,1762,35,1208.1775210220935
57,1813,35,1224.2404673129602
58,1847,35,1239.5291666485025
59,1887,35,1253.2124123660583
60,1931,35,1266.7937528198556
61,1972,35,1279.379116078586
62,2009,33,1290.9554159211482
63,2053,34,1301.5433263549028
64,2084,38,1311.924768596879
65,2133,39,1318.2707856345996
66,2165,42,1325.6904656854254
67,2226,42,1329.593147229131
68,2276,44,1333.3220886168806
69,2341,44,1338.6543152073905
70,2402,47,1343.8365798439345
71,2466,56,1345.5752473353791
72,2535,59,1350.3999993290888
73,2608,63,1346.8902125762315
74,2670,71,1349.8763691881918
75,2741,77,1350.8955115786698
76,2809,81,1350.390398716326
77,2885,88,1351.6558702591674
78,2930,89,1351.7253669359836
79,3013,89,1347.7008016703437
80,3072,91,1346.7813364928063
81,3140,92,1343.7219964832746
82,3215,94,1340.914977267062
83,3291,95,1335.1897287518416
84,3344,98,1330.615622113908
85,3432,100,1324.5041765981966
86,3483,100,1317.3597157727984
87,3551,100,1310.0780060143418
88,3603,100,1302.040577182435
89,3673,103,1293.2011382958003
90,3721,103,1283.419374243965
91,3788,103,1272.7750205988962
