tick,n1,n2,total_mass
1,32,32,1.6606210596438112e-14
2,32,32,0.1627199609472178
3,32,32,0.4725385322739752
4,32,32,0.9092347656357226
5,32,32,1.0356203390290926
6,32,32,0.9362007864823028
7,32,32,1.711849070701429
8,32,32,1.809641636507124
9,32,32,1.6400507266749735
10,33,32,2.2408455847657516
11,33,32,2.454733487407107
12,33,32,4.004084096459982
13,33,32,5.269915806552288
14,33,32,4.7640038891232654
15,33,32,4.8499044470818395
16,33,32,6.824981819097184
17,33,32,6.169783564463844
18,33,32,5.577484342275319
19,33,32,7.970778094800335
20,33,32,10.296995541506536
21,33,32,9.30848396952189
22,33,32,8.414869508447797
23,33,32,11.18646621591317
24,33,32,13.854650321865318
25,33,32,12.524603890966205
26,33,32,11.32224191743349
27,33,32,14.46534033475438
28,33,32,17.46933902670084
29,33,32,15.792282480137578
30,33,32,14.276223362044345
31,33,32,17.786251562012744
32,33,32,21.121928070591625
33,33,32,19.094222975814763
34,33,32,17.26117757013657
35,33,32,21.13504971990259
36,33,32,24.799610705666804
37,33,32,22.41884807792276
38,33,32,20.266638662442276
39,33,32,24.50225866838872
40,33,32,28.4938055168596
41,33,32,25.758400187241005
42,33,32,23.285593769265905
43,33,32,27.88152379102558
44,33,32,32.19875294944987
45,33,32,29.107672666302697
46,33,32,26.31333609033769
47,33,32,31.268575161409455
48,33,32,35.91057801188355
49,33,32,32.46316252274271
50,33,32,29.346698920559476
51,33,32,34.66053510279847
52,33,32,39.626664310013005
53,33,32,35.822504536251856
54,33,32,32.38354410077163
55,33,32,38.055455747950184
56,33,32,43.34523600153595
57,33,32,39.18409334538861
58,33,32,35.42242038423125
59,33,32,41.45201020276367
60,33,32,47.06507860827264
61,49,32,42.54683106187841
62,49,32,48.37803204304179
63,49,32,53.81307616683572
64,49,32,48.64702085481938
65,49,32,43.9769068527568
66,49,32,50.32120218172663
67,49,32,56.21866276927698
68,49,32,50.82167114342646
69,49,32,45.94279071365748
70,49,32,52.747138005899245
71,50,32,59.060422371933925
72,50,32,53.3906218242283
73,50,33,48.26512212910246
74,50,33,55.49504402961213
75,52,33,62.19298090917729
76,54,34,56.22245474189622
77,55,34,50.825099086674214
78,55,36,58.14264817479388
79,56,36,65.2345894821364
80,59,36,58.972068891851265
81,59,36,61.56632206303465
82,62,36,68.81553068783938
83,63,37,62.20923974180675
84,69,37,69.72021743548808
85,70,38,71.66697302714293
86,72,38,68.4595529747746
87,73,41,66.36949454333057
88,75,41,67.49423191846356
89,75,45,65.32694579691224
90,77,45,60.4725651989674
91,78,47,56.12736412076511
92,81,47,57.553129165749894
93,81,48,56.111098627203646
94,83,48,53.96555754715736
95,91,48,51.34972155862218
96,97,48,53.49403152197692
97,105,48,62.09000664078625
98,109,55,71.34092257724252
99,109,55,66.84417458690575
100,113,55,75.88452162682702
101,115,56,84.35245088623637
102,121,56,76.32930826773094
103,125,56,82.01421159299807
104,129,57,80.48136046775682
105,133,57,78.8511708225993
106,135,58,79.22718399667089
107,137,58,82.89511091776914
108,137,66,83.51427060528178
109,145,66,81.91270285699139
110,146,66,89.11654404452003
111,151,66,95.31723084237424
112,152,68,96.18813047343389
113,154,69,99.78670553623164
114,156,72,99.32852848364924
115,159,73,100.750597114933
116,160,76,97.08507694490544
117,161,76,90.78019810345518
118,161,76,87.21720083568191
119,161,76,87.32670545856044
120,161,78,83.18872921071767
121,161,78,82.15996621950129
122,161,78,79.67269555761574
123,162,79,81.72173817655029
124,162,86,79.05196876547231
125,160,88,78.60511771104522
126,156,88,78.54950643895351
127,155,89,76.00383229206447
128,155,89,74.28475530626676
129,155,90,74.41838333168273
130,155,92,77.5089387395682
131,156,93,75.01321071603219
132,159,93,82.68449979853655
133,158,93,86.84576786463619
134,157,94,86.45219436883352
135,151,95,91.1797554664989
136,153,95,95.07934194774384
137,153,99,95.67776621241168
138,151,100,97.02542589005074
139,156,101,101.48372670120918
140,160,102,105.8811882828311
141,165,100,115.81671663274898
142,167,100,127.51931086271031
143,170,101,126.26809502362434
144,172,105,136.7692122505809
145,177,108,146.9474636030273
146,181,114,154.93232027550457
147,185,116,163.21091187853307
148,191,122,170.29848200485193
149,195,127,177.6855826796424
150,203,133,184.48580413322847
151,206,134,191.0515763203935
152,217,141,194.72633757703915
153,220,144,200.25405328825408
154,225,146,181.2390826098117
155,233,143,177.9661201557475
156,234,152,165.5429322581988
157,237,154,164.3094148827764
158,237,156,154.3785018021633
159,238,159,146.89957547377918
160,237,160,142.1118611329165
161,236,162,136.1094533889665
162,236,162,132.1476156181613
163,232,162,131.74116788394838
164,236,162,145.38778192675983
165,243,163,157.87104511125773
166,246,164,156.02691606653406
167,258,164,167.16738512099514
168,259,165,175.6388228492831
169,268,166,184.12801375870623
170,273,171,184.14737420517463
171,287,170,192.0267317470147
172,297,174,201.046546062491
173,309,173,208.11590341399352
174,314,172,215.77690083608869
175,328,174,222.57426680143465
176,340,176,229.1872005396691
177,350,177,223.3629120747111
178,356,179,218.54246706979632
179,372,178,217.16497009214655
180,381,179,212.56111756257937
181,393,180,213.4231037738816
182,400,179,209.90639015391773
183,406,179,210.4525579012499
184,420,180,216.45024590407277
185,423,179,222.95770655559255
186,438,178,230.30849087684535
187,439,179,236.48822651090532
188,450,178,241.77193576897145
189,448,177,248.8460907548349
190,455,175,226.9394524791244
191,453,174,217.3630760507226
192,459,176,206.74573137024169
193,460,177,202.21436385889797
194,462,175,197.23437720231263
195,463,173,189.6543501712838
196,463,170,198.31366458414553
197,463,170,210.83507463867957
198,466,167,190.59490747336625
199,472,164,193.20782955591
200,472,167,206.7304459349353
201,480,159,213.72439172772
202,481,157,225.19736899760144
203,492,150,226.5854214469078
204,491,151,235.41803993329137
205,496,152,245.49035537508388
206,511,153,254.24472838111916
207,522,154,245.3948214597664
208,535,153,243.30168590154497
209,544,155,246.639970530852
210,561,156,255.59155867594723
211,569,157,264.64519907259137
212,590,158,273.17822716847735
213,605,157,279.4535690587561
214,614,160,286.27579521068844
215,639,157,292.8981429545273
216,657,159,298.3600554083258
217,666,160,302.43093179635866
218,682,160,298.34996237793194
219,698,159,304.03826896124804
