tick,n1,n2,total_mass
1,32,32,5.535403532146037e-15
2,32,32,0.271198372802934
3,32,32,0.7875503115075796
4,32,32,1.515336705976571
5,32,32,1.723207790267134
6,32,32,1.5577798424014897
7,33,32,2.852510650634358
8,33,32,3.3775082271128283
9,33,32,4.381369660322537
10,34,32,6.131089572085353
11,34,32,6.707561648652049
12,35,32,8.978914315980147
13,35,32,8.713560191189735
14,35,32,8.940666536859638
15,35,32,8.810688721751728
16,35,32,9.15822972711566
17,35,32,9.819220421766794
18,35,32,9.695513900742558
19,35,32,10.11244508460086
20,35,32,10.540913887696876
21,35,32,11.002590257552509
22,35,32,11.44789557645251
23,35,32,11.903033358191337
24,35,32,12.374651383267846
25,35,32,12.84335322494065
26,35,32,13.318070835458624
27,35,32,14.051171233293529
28,35,32,14.048423573469602
29,35,32,14.534439606867377
30,35,32,15.299329781670888
31,35,32,15.455386626161982
32,35,32,15.95994256448713
33,35,32,16.466152714280334
34,35,32,16.99717594066558
35,35,32,17.50321789849645
36,35,32,18.011496290137014
37,35,32,18.534431381438747
38,35,32,19.042299466615397
39,35,32,19.55149557268424
40,35,32,20.067062619070946
41,35,32,20.57622912090847
42,35,32,21.08458826591607
43,35,32,21.890573837335285
44,35,32,22.23952671880354
45,35,32,22.734960529197565
46,35,32,27.008642655507657
47,35,32,26.75153565136216
48,35,32,27.010943743248088
49,35,32,27.284408124890405
50,35,32,27.542776935830688
51,35,32,27.861687483016023
52,35,32,28.188173816952276
53,35,32,28.94174805622221
54,35,32,28.79413488061266
55,35,32,29.17573232821488
56,35,32,30.03096973924195
57,35,32,29.912199462977146
58,35,32,30.33108304481009
59,35,32,31.229616221408893
60,35,32,31.10988240862747
61,35,32,30.796223769438303
62,35,32,31.388178563869136
63,35,32,31.33705969998236
64,35,32,31.882256780522457
65,35,32,32.404455690146165
66,35,32,32.93573412668268
67,35,32,33.44795263995107
68,35,32,33.9554914595573
69,35,32,34.82981605238893
70,35,32,34.903474831569426
