damping,unique_basins,bits,self_attract_pct,top_basin,top_share_pct,mean_entropy,mean_maxRho,herfindahl,effective_basins,decay_per_tick,rho_remaining_pct
0.1,134,7.066,95.7,53,2.9,0.7784,12.84,0.0081,124.1,0.9988,78.6515
0.5,134,7.066,95.7,53,2.9,0.7671,8.93,0.0081,124.1,0.994,30.0108
1.0,134,7.066,95.7,53,2.9,0.7706,5.47,0.0081,124.1,0.988,8.9411
2.0,134,7.066,95.7,52,2.9,0.8277,1.71,0.0082,122.5,0.976,0.7762
3.0,136,7.087,97.1,2,3.6,0.8813,0.51,0.0082,122.5,0.964,0.0654
5.0,135,7.077,96.4,31,2.9,0.9199,0.05,0.008,125.6,0.94,0.0004
7.0,134,7.066,95.7,31,2.9,0.9419,0.0,0.0082,122.5,0.916,0.0
8.0,131,7.033,93.6,2,2.9,0.9422,0.0,0.0085,118.1,0.904,0.0
9.0,128,7.0,91.4,2,3.6,0.9318,0.0,0.0091,110.1,0.892,0.0
10.0,128,7.0,91.4,2,3.6,0.9096,0.0,0.0092,108.9,0.88,0.0
12.0,125,6.966,89.3,2,4.3,0.8471,0.0,0.0108,92.5,0.856,0.0
15.0,106,6.728,75.0,2,10.0,0.7261,0.0,0.0215,46.4,0.82,0.0
20.0,66,6.044,29.3,2,27.1,0.6277,0.0,0.0882,11.3,0.76,0.0
30.0,77,6.267,4.3,13,7.1,0.5201,0.0,0.0201,49.7,0.64,0.0
50.0,81,6.34,0.0,13,8.6,0.4271,0.0,0.0215,46.4,0.4,0.0
100.0,140,7.129,100.0,1,0.7,0.0,0.0,0.0071,140.0,-0.2,0
