condition,damping,total_probes,same_basin,shifted,stability_pct,jaccard,baseline_basins,post_basins,synth_basins,synth_capture_pct,top_basin,monopole_pct,synth_count,total_nodes
mild,0.1,40,35,5,87.5,0.875,38,38,1,7.5,synth:grail,7.5,1,141
mild,0.5,40,34,6,85.0,0.85,38,37,1,10.0,synth:grail,10.0,1,141
mild,1.0,40,34,6,85.0,0.8718,38,36,1,12.5,synth:grail,12.5,1,141
mild,2.0,40,33,7,82.5,0.8684,37,35,1,15.0,synth:grail,15.0,1,141
mild,3.0,40,31,9,77.5,0.8611,36,32,1,22.5,synth:grail,22.5,1,141
mild,5.0,40,29,11,72.5,0.7838,37,30,1,27.5,synth:grail,27.5,1,141
mild,7.0,40,27,13,67.5,0.75,36,28,1,32.5,synth:grail,32.5,1,141
mild,8.0,40,25,15,62.5,0.6944,36,26,1,37.5,synth:grail,37.5,1,141
mild,9.0,40,24,16,60.0,0.6857,35,25,1,40.0,synth:grail,40.0,1,141
mild,10.0,40,24,16,60.0,0.7059,34,25,1,40.0,synth:grail,40.0,1,141
mild,12.0,40,23,17,57.5,0.7667,30,24,1,42.5,synth:grail,42.5,1,141
mild,15.0,40,7,33,17.5,0.2692,25,9,1,80.0,synth:grail,80.0,1,141
mild,20.0,40,6,34,15.0,0.25,19,7,1,82.5,synth:grail,82.5,1,141
mild,30.0,40,7,33,17.5,0.2143,28,7,1,80.0,synth:grail,80.0,1,141
mild,50.0,40,32,8,80.0,0.8065,31,26,1,17.5,synth:grail,17.5,1,141
mild,100.0,40,40,0,100.0,1.0,40,40,0,0.0,dweller crystal,2.5,1,141
medium,0.1,40,35,5,87.5,0.875,38,39,2,7.5,synth:christ,5.0,5,145
medium,0.5,40,35,5,87.5,0.875,38,39,2,7.5,synth:christ,5.0,5,145
medium,1.0,40,34,6,85.0,0.8718,38,37,2,12.5,synth:christ,7.5,5,145
medium,2.0,40,33,7,82.5,0.8684,37,36,2,15.0,synth:christ,10.0,5,145
medium,3.0,40,32,8,80.0,0.8889,36,35,3,20.0,synth:christ,12.5,5,145
medium,5.0,40,29,11,72.5,0.7838,37,32,3,27.5,synth:christ,17.5,5,145
medium,7.0,40,28,12,70.0,0.7778,36,31,3,30.0,synth:christ,20.0,5,145
medium,8.0,40,26,14,65.0,0.7222,36,29,3,35.0,synth:christ,25.0,5,145
medium,9.0,40,25,15,62.5,0.7143,35,28,3,37.5,synth:christ,27.5,5,145
medium,10.0,40,24,16,60.0,0.7059,34,27,3,40.0,synth:christ,27.5,5,145
medium,12.0,40,24,16,60.0,0.8,30,27,3,40.0,synth:christ,27.5,5,145
medium,15.0,40,9,31,22.5,0.36,25,12,3,77.5,synth:christ,52.5,5,145
medium,20.0,40,5,35,12.5,0.1818,19,11,4,80.0,synth:christ,50.0,5,145
medium,30.0,40,4,36,10.0,0.1071,28,7,4,90.0,synth:christ,62.5,5,145
medium,50.0,40,28,12,70.0,0.7097,31,26,4,27.5,synth:christ,10.0,5,145
medium,100.0,40,40,0,100.0,1.0,40,40,0,0.0,dweller crystal,2.5,5,145
extreme,0.1,40,32,8,80.0,0.8421,38,40,8,20.0,dweller crystal,2.5,140,280
extreme,0.5,40,32,8,80.0,0.8421,38,40,8,20.0,dweller crystal,2.5,140,280
extreme,1.0,40,32,8,80.0,0.8421,38,40,8,20.0,dweller crystal,2.5,140,280
extreme,2.0,40,30,10,75.0,0.8108,37,40,10,25.0,dweller crystal,2.5,140,280
extreme,3.0,40,29,11,72.5,0.8056,36,40,11,27.5,dweller crystal,2.5,140,280
extreme,5.0,40,26,14,65.0,0.7027,37,40,14,35.0,synth:dweller crystal,2.5,140,280
extreme,7.0,40,25,15,62.5,0.6944,36,40,15,37.5,synth:dweller crystal,2.5,140,280
extreme,8.0,40,24,16,60.0,0.6667,36,40,16,40.0,synth:dweller crystal,2.5,140,280
extreme,9.0,40,23,17,57.5,0.6571,35,40,17,42.5,synth:dweller crystal,2.5,140,280
extreme,10.0,40,22,18,55.0,0.6471,34,40,18,45.0,synth:dweller crystal,2.5,140,280
extreme,12.0,40,4,36,10.0,0.1333,30,40,36,90.0,synth:dweller crystal,2.5,140,280
extreme,15.0,40,1,39,2.5,0.04,25,40,39,97.5,synth:dweller crystal,2.5,140,280
extreme,20.0,40,0,40,0.0,0.0,19,40,40,100.0,synth:dweller crystal,2.5,140,280
extreme,30.0,40,0,40,0.0,0.0,28,40,40,100.0,synth:dweller crystal,2.5,140,280
extreme,50.0,40,0,40,0.0,0.0,31,40,40,100.0,synth:dweller crystal,2.5,140,280
extreme,100.0,40,40,0,100.0,1.0,40,40,0,0.0,dweller crystal,2.5,140,280
