schema,runId,runIndex,repIndex,wantId,pressCUsed,baseDampUsed,busThreshUsed,ampB,ampD,ampSum,tick,tMs,lateByMs,basin,sumAbsFlux,meanAbsP,maxAbsEdgeFlux,maxEdgeIndex,maxEdgeFrom,maxEdgeTo,maxEdgeFlux,concentration,flux_114_89,flux_114_79,flux_136_89,flux_136_79
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,0,0,0.0,90,1111.585976,3.535939,6.937833,536,82,19,6.937833,0.006241,0.336422,0.332481,-0.390096,-0.394810
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,1,200,0.0,90,1141.509307,3.544828,7.441088,536,82,19,7.441088,0.006519,0.409521,0.405232,-0.246523,-0.251641
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,2,400,0.0,90,1149.107751,3.549738,7.708172,536,82,19,7.708172,0.006708,0.466201,0.461484,-0.137600,-0.143219
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,3,600,0.0,90,1110.183063,3.527267,7.471945,536,82,19,7.471945,0.006730,0.507951,0.502818,-0.058689,-0.064793
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,4,800,0.0,90,966.500080,3.505824,6.092000,536,82,19,6.092000,0.006303,0.536638,0.531203,-0.004579,-0.011031
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,5,1000,0.0,90,832.343596,3.488476,5.190615,181,90,128,5.190615,0.006236,0.554395,0.548867,0.030829,0.024278
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,6,1200,0.0,90,715.294839,3.457171,5.132602,181,90,128,5.132602,0.007176,0.562986,0.557649,0.052738,0.046428
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,7,1400,0.0,90,613.399118,3.413746,5.090957,181,90,128,5.090957,0.008300,0.563692,0.558882,0.065116,0.059448
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,8,1600,0.0,90,541.912087,3.359668,5.067243,181,90,128,5.067243,0.009351,0.557372,0.553441,0.070879,0.066269
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,9,1800,0.0,90,557.989135,3.301508,5.062392,181,90,128,5.062392,0.009073,0.544571,0.541835,0.072087,0.068908
