schema,runId,runIndex,repIndex,wantId,pressCUsed,baseDampUsed,busThreshUsed,ampB,ampD,ampSum,totalTicks,windowMs,dt,everyMs,onset114_tick,peak114_tick,peak114_abs,onset136_tick,peak136_tick,peak136_abs,outcome,winner,peakSumAbsFlux,peakSumAtTick,peakSumAtMs,peakSumMeanAbsP,peakMaxAbsEdgeFlux,peakEdgeIndex,peakEdgeFrom,peakEdgeTo,peakEdgeFlux,peakConcentration,visibilityStateStart,wasHidden,lateAbsAvgMs,lateAbsP95Ms,lateAbsMaxMs,missedTicks
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,61,12200,0.12,200,3,7,0.5636915322853336,22,25,0.6501369360897931,bothOn,114,1149.1077508315034,2,400,3.549737750197351,7.708171903709511,536,82,19,7.708171903709511,0.006707962676367912,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,61,12200,0.12,200,3,7,0.5636915322853336,22,25,0.6501369360897931,bothOn,114,1149.1077508315034,2,400,3.549737750197351,7.708171903709511,536,82,19,7.708171903709511,0.006707962676367912,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-05-115Z_r00002_rep3_want82_simul_ampB4.000_ampD5.500,2,3,82,2.0,5.0,0.5,4.0,5.5,9.5,61,12200,0.12,200,3,7,0.5636915322853336,22,25,0.6501369360897931,bothOn,114,1149.1077508315034,2,400,3.549737750197351,7.708171903709511,536,82,19,7.708171903709511,0.006707962676367912,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-06-711Z_r00003_rep4_want82_simul_ampB4.000_ampD5.500,3,4,82,2.0,5.0,0.5,4.0,5.5,9.5,61,12200,0.12,200,3,7,0.5636915322853336,22,25,0.6501369360897931,bothOn,114,1149.1077508315034,2,400,3.549737750197351,7.708171903709511,536,82,19,7.708171903709511,0.006707962676367912,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-08-313Z_r00004_rep5_want82_simul_ampB4.000_ampD5.500,4,5,82,2.0,5.0,0.5,4.0,5.5,9.5,61,12200,0.12,200,3,7,0.5636915322853336,22,25,0.6501369360897931,bothOn,114,1149.1077508315034,2,400,3.549737750197351,7.708171903709511,536,82,19,7.708171903709511,0.006707962676367912,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-09-910Z_r00005_rep6_want82_simul_ampB4.000_ampD5.500,5,6,82,2.0,5.0,0.5,4.0,5.5,9.5,61,12200,0.12,200,3,7,0.5636915322853336,22,25,0.6501369360897931,bothOn,114,1149.1077508315034,2,400,3.549737750197351,7.708171903709511,536,82,19,7.708171903709511,0.006707962676367912,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-11-510Z_r00006_rep7_want82_simul_ampB4.000_ampD5.500,6,7,82,2.0,5.0,0.5,4.0,5.5,9.5,61,12200,0.12,200,3,7,0.5636915322853336,22,25,0.6501369360897931,bothOn,114,1149.1077508315034,2,400,3.549737750197351,7.708171903709511,536,82,19,7.708171903709511,0.006707962676367912,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-13-117Z_r00007_rep8_want82_simul_ampB4.000_ampD5.500,7,8,82,2.0,5.0,0.5,4.0,5.5,9.5,61,12200,0.12,200,3,7,0.5636915322853336,22,25,0.6501369360897931,bothOn,114,1149.1077508315034,2,400,3.549737750197351,7.708171903709511,536,82,19,7.708171903709511,0.006707962676367912,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-14-737Z_r00008_rep9_want82_simul_ampB4.000_ampD5.500,8,9,82,2.0,5.0,0.5,4.0,5.5,9.5,61,12200,0.12,200,3,7,0.5636915322853336,22,25,0.6501369360897931,bothOn,114,1149.1077508315034,2,400,3.549737750197351,7.708171903709511,536,82,19,7.708171903709511,0.006707962676367912,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-16-341Z_r00009_rep10_want82_simul_ampB4.000_ampD5.500,9,10,82,2.0,5.0,0.5,4.0,5.5,9.5,61,12200,0.12,200,3,7,0.5636915322853336,22,25,0.6501369360897931,bothOn,114,1149.1077508315034,2,400,3.549737750197351,7.708171903709511,536,82,19,7.708171903709511,0.006707962676367912,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-17-941Z_r00010_rep1_want82_simul_ampB4.000_ampD5.525,10,1,82,2.0,5.0,0.5,4.0,5.525,9.525,61,12200,0.12,200,3,7,0.5636580582568417,22,25,0.6500751359320146,bothOn,114,1149.10816643377,2,400,3.5497720574406495,7.708173332372499,536,82,19,7.708173332372499,0.006707961493553669,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-19-543Z_r00011_rep2_want82_simul_ampB4.000_ampD5.525,11,2,82,2.0,5.0,0.5,4.0,5.525,9.525,61,12200,0.12,200,3,7,0.5636580582568417,22,25,0.6500751359320146,bothOn,114,1149.10816643377,2,400,3.5497720574406495,7.708173332372499,536,82,19,7.708173332372499,0.006707961493553669,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-21-147Z_r00012_rep3_want82_simul_ampB4.000_ampD5.525,12,3,82,2.0,5.0,0.5,4.0,5.525,9.525,61,12200,0.12,200,3,7,0.5636580582568417,22,25,0.6500751359320146,bothOn,114,1149.10816643377,2,400,3.5497720574406495,7.708173332372499,536,82,19,7.708173332372499,0.006707961493553669,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-22-752Z_r00013_rep4_want82_simul_ampB4.000_ampD5.525,13,4,82,2.0,5.0,0.5,4.0,5.525,9.525,61,12200,0.12,200,3,7,0.5636580582568417,22,25,0.6500751359320146,bothOn,114,1149.10816643377,2,400,3.5497720574406495,7.708173332372499,536,82,19,7.708173332372499,0.006707961493553669,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-24-354Z_r00014_rep5_want82_simul_ampB4.000_ampD5.525,14,5,82,2.0,5.0,0.5,4.0,5.525,9.525,61,12200,0.12,200,3,7,0.5636580582568417,22,25,0.6500751359320146,bothOn,114,1149.10816643377,2,400,3.5497720574406495,7.708173332372499,536,82,19,7.708173332372499,0.006707961493553669,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-25-951Z_r00015_rep6_want82_simul_ampB4.000_ampD5.525,15,6,82,2.0,5.0,0.5,4.0,5.525,9.525,61,12200,0.12,200,3,7,0.5636580582568417,22,25,0.6500751359320146,bothOn,114,1149.10816643377,2,400,3.5497720574406495,7.708173332372499,536,82,19,7.708173332372499,0.006707961493553669,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-27-550Z_r00016_rep7_want82_simul_ampB4.000_ampD5.525,16,7,82,2.0,5.0,0.5,4.0,5.525,9.525,61,12200,0.12,200,3,7,0.5636580582568417,22,25,0.6500751359320146,bothOn,114,1149.10816643377,2,400,3.5497720574406495,7.708173332372499,536,82,19,7.708173332372499,0.006707961493553669,visible,False,0.0,0.0,0.0,0
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-29-154Z_r00017_rep8_want82_simul_ampB4.000_ampD5.525,17,8,82,2.0,5.0,0.5,4.0,5.525,9.525,61,12200,0.12,200,3,7,0.5636580582568417,22,25,0.6500751359320146,bothOn,114,1149.10816643377,2,400,3.5497720574406495,7.708173332372499,536,82,19,7.708173332372499,0.006707961493553669,visible,False,0.0,0.0,0.0,0
