inject_id,damping,inject_amount,final_basin,is_self,n_transitions,lock_in_step,energy_zero_step,rho_tick1,rho_tick2,active_t1,active_t2,active_t3,total_flux_t1,mass_t1,label
130,50.0,10.0,2,False,7,183,29,3.994387,3.545337,1,1,1,0.233888,3.99961,level
131,50.0,10.0,136,False,2,183,29,3.995071,3.546212,1,1,1,0.205382,4.0,non profitset
2,50.0,10.0,22,False,10,183,43,4.0,3.568,1,1,1,0.185372,4.004449,christ
133,50.0,10.0,2,False,6,183,29,3.994511,3.545328,1,1,1,0.228689,3.99961,stars
4,50.0,10.0,7,False,5,183,29,3.994348,3.544722,1,1,1,0.235507,4.0,osiris
135,50.0,10.0,2,False,6,183,29,3.994407,3.545428,1,1,1,0.233034,3.99961,moon
5,50.0,10.0,67,False,10,183,29,3.994043,3.5432,1,1,1,0.248222,3.996932,earth star
137,50.0,10.0,2,False,6,183,29,3.994452,3.545201,1,1,1,0.231183,3.99961,state
8,50.0,10.0,2,False,6,183,29,3.994407,3.545356,1,1,1,0.233034,3.99961,ark
139,50.0,10.0,7,False,6,183,29,3.993939,3.543688,1,1,1,0.252539,3.998556,sanctuary
140,50.0,10.0,7,False,4,183,29,3.994207,3.544678,1,1,1,0.241376,4.0,dynamic
10,50.0,10.0,136,False,11,183,43,4.0,3.568,1,1,1,0.207092,4.00497,venus
11,50.0,10.0,2,False,6,183,29,3.994737,3.545601,1,1,1,0.219275,3.99961,orion
79,50.0,10.0,7,False,13,183,35,3.896648,3.192264,1,1,1,4.306331,3.98951,par
82,50.0,10.0,7,False,15,183,35,3.883971,3.14873,1,1,1,4.834528,3.988252,johannine grove
89,50.0,10.0,7,False,14,183,35,3.893743,3.181835,1,1,1,4.427388,3.990455,mystery school
90,50.0,10.0,2,False,15,183,36,4.0,3.568,1,1,1,1.132281,4.027175,christine hayes
92,50.0,10.0,138,False,9,183,30,3.977951,3.474462,1,1,1,0.918722,3.998145,plain
104,50.0,10.0,7,False,14,183,33,3.942081,3.351106,1,1,1,2.413295,3.995659,church
126,50.0,10.0,2,False,7,183,31,3.972628,3.452172,1,1,1,1.140501,3.998125,melchizedek
130,50.0,50.0,2,False,7,183,39,19.990796,17.801173,1,1,1,0.383506,19.99936,level
131,50.0,50.0,136,False,2,184,40,19.991918,17.802337,1,1,1,0.336765,20.0,non profitset
2,50.0,50.0,22,False,9,183,48,20.0,17.84,1,1,1,0.303955,20.007295,christ
133,50.0,50.0,2,False,6,183,39,19.991,17.801066,1,1,1,0.374981,19.99936,stars
4,50.0,50.0,7,False,3,183,40,19.990732,17.800036,1,1,1,0.38616,20.0,osiris
135,50.0,50.0,2,False,6,183,39,19.990829,17.80133,1,1,1,0.382105,19.99936,moon
5,50.0,50.0,67,False,10,183,39,19.990232,17.79738,1,1,1,0.407009,19.99497,earth star
137,50.0,50.0,2,False,6,183,39,19.990902,17.800869,1,1,1,0.379071,19.99936,state
8,50.0,50.0,2,False,6,183,39,19.990829,17.801194,1,1,1,0.382105,19.99936,ark
139,50.0,50.0,7,False,6,183,38,19.990062,17.798376,1,1,1,0.414087,19.997633,sanctuary
140,50.0,50.0,7,False,4,183,40,19.990501,17.800054,1,1,1,0.395784,20.0,dynamic
10,50.0,50.0,136,False,11,183,49,20.0,17.84,1,1,1,0.339569,20.00815,venus
11,50.0,50.0,2,False,6,183,39,19.991371,17.80142,1,1,1,0.359545,19.99936,orion
79,50.0,50.0,7,False,12,183,46,19.830534,17.202113,1,1,1,7.061085,19.982799,par
82,50.0,50.0,7,False,12,183,46,19.809748,17.128526,1,1,1,7.927169,19.980736,johannine grove
89,50.0,50.0,7,False,13,183,46,19.82577,17.184389,1,1,1,7.259582,19.984349,mystery school
90,50.0,50.0,2,False,14,183,46,20.0,17.84,1,1,1,1.8566,20.044558,christine hayes
92,50.0,50.0,2,False,7,183,42,19.963846,17.678856,1,1,1,1.506428,19.996959,plain
