condition,tick,parent_id,parent_label,synth_id,synth_label,parent_rho_at_birth,parent_semantic_mass
Jcrit=8.0_strategy=blast,0,1,grail,synth_9000,synth:grail,189.5137,1.0
Jcrit=8.0_strategy=blast,0,79,par,synth_9001,synth:par,0.0049,1.0
Jcrit=8.0_strategy=blast,0,82,johannine grove,synth_9002,synth:johannine grove,0.005,1.0
Jcrit=8.0_strategy=blast,0,89,mystery school,synth_9003,synth:mystery school,0.0049,1.0
Jcrit=8.0_strategy=blast,0,104,church,synth_9004,synth:church,0.0043,1.0
Jcrit=8.0_strategy=blast,0,118,mazur,synth_9005,synth:mazur,0.0037,1.0
Jcrit=8.0_strategy=blast,0,126,melchizedek,synth_9006,synth:melchizedek,0.0039,1.0
Jcrit=8.0_strategy=blast,0,132,magdalene,synth_9007,synth:magdalene,0.0036,1.0
Jcrit=8.0_strategy=blast,2,3,isis,synth_9008,synth:isis,0.0001,1.0
Jcrit=8.0_strategy=blast,2,4,osiris,synth_9009,synth:osiris,0.0,1.0
Jcrit=8.0_strategy=blast,2,8,ark,synth_9010,synth:ark,0.0001,1.0
Jcrit=8.0_strategy=blast,2,11,orion,synth_9011,synth:orion,0.0001,1.0
Jcrit=8.0_strategy=blast,2,12,eye,synth_9012,synth:eye,0.0001,1.0
Jcrit=8.0_strategy=blast,2,15,god,synth_9013,synth:god,0.0001,1.0
Jcrit=8.0_strategy=blast,2,16,doors,synth_9014,synth:doors,0.0001,1.0
Jcrit=8.0_strategy=blast,2,18,adam kadmon,synth_9015,synth:adam kadmon,0.0001,1.0
Jcrit=8.0_strategy=blast,2,20,horus,synth_9016,synth:horus,0.0001,1.0
Jcrit=8.0_strategy=blast,2,24,inner earth,synth_9017,synth:inner earth,0.0001,1.0
Jcrit=8.0_strategy=blast,2,25,blue star,synth_9018,synth:blue star,0.0,1.0
Jcrit=8.0_strategy=blast,2,26,dna,synth_9019,synth:dna,0.0001,1.0
Jcrit=8.0_strategy=blast,2,29,pyramid,synth_9020,synth:pyramid,0.0001,1.0
Jcrit=8.0_strategy=blast,2,32,great pyramid,synth_9021,synth:great pyramid,0.0,1.0
Jcrit=8.0_strategy=blast,2,33,johannine,synth_9022,synth:johannine,0.0001,1.0
Jcrit=8.0_strategy=blast,2,35,mother,synth_9023,synth:mother,0.0001,1.0
Jcrit=8.0_strategy=blast,2,36,templa mar,synth_9024,synth:templa mar,0.0001,1.0
Jcrit=8.0_strategy=blast,2,37,master,synth_9025,synth:master,0.0001,1.0
Jcrit=8.0_strategy=blast,2,38,mystery,synth_9026,synth:mystery,0.0001,1.0
Jcrit=8.0_strategy=blast,2,39,yeshua,synth_9027,synth:yeshua,0.0001,1.0
Jcrit=8.0_strategy=blast,2,40,pure gem,synth_9028,synth:pure gem,0.0001,1.0
Jcrit=8.0_strategy=blast,2,42,gate,synth_9029,synth:gate,0.0,1.0
Jcrit=8.0_strategy=blast,2,43,flame,synth_9030,synth:flame,0.0001,1.0
Jcrit=8.0_strategy=blast,2,46,atlantis,synth_9031,synth:atlantis,0.0001,1.0
Jcrit=8.0_strategy=blast,2,47,of light,synth_9032,synth:of light,0.0001,1.0
Jcrit=8.0_strategy=blast,2,49,love,synth_9033,synth:love,0.0001,1.0
Jcrit=8.0_strategy=blast,2,50,grace,synth_9034,synth:grace,0.0001,1.0
Jcrit=8.0_strategy=blast,2,53,lion,synth_9035,synth:lion,0.0,1.0
Jcrit=8.0_strategy=blast,2,54,matter,synth_9036,synth:matter,0.0,1.0
Jcrit=8.0_strategy=blast,2,55,sun,synth_9037,synth:sun,0.0,1.0
Jcrit=8.0_strategy=blast,2,57,blood,synth_9038,synth:blood,0.0001,1.0
Jcrit=8.0_strategy=blast,2,59,tree,synth_9039,synth:tree,0.0001,1.0
Jcrit=8.0_strategy=blast,2,60,self,synth_9040,synth:self,0.0001,1.0
Jcrit=8.0_strategy=blast,2,61,old,synth_9041,synth:old,0.0001,1.0
Jcrit=8.0_strategy=blast,2,62,king,synth_9042,synth:king,0.0001,1.0
Jcrit=8.0_strategy=blast,2,63,set,synth_9043,synth:set,0.0001,1.0
Jcrit=8.0_strategy=blast,2,64,john,synth_9044,synth:john,0.0001,1.0
Jcrit=8.0_strategy=blast,2,65,atlantean,synth_9045,synth:atlantean,0.0001,1.0
Jcrit=8.0_strategy=blast,2,66,jesus,synth_9046,synth:jesus,0.0001,1.0
Jcrit=8.0_strategy=blast,2,68,nature,synth_9047,synth:nature,0.0001,1.0
Jcrit=8.0_strategy=blast,2,70,adam,synth_9048,synth:adam,0.0001,1.0
Jcrit=8.0_strategy=blast,2,72,isis eye,synth_9049,synth:isis eye,0.0,1.0
Jcrit=8.0_strategy=blast,2,73,mari,synth_9050,synth:mari,0.0001,1.0
Jcrit=8.0_strategy=blast,2,74,egypt,synth_9051,synth:egypt,0.0001,1.0
Jcrit=8.0_strategy=blast,2,75,central,synth_9052,synth:central,0.0001,1.0
Jcrit=8.0_strategy=blast,2,76,logos,synth_9053,synth:logos,0.0001,1.0
Jcrit=8.0_strategy=blast,2,78,knowledge,synth_9054,synth:knowledge,0.0,1.0
Jcrit=8.0_strategy=blast,2,80,city,synth_9055,synth:city,0.0001,1.0
