
Stepping LOAD_16...
  LOAD Step 40 | S_RX0 rho: 295.3361 | P_Bus0 rho: 8.1652
  LOAD Step 41 | S_RX0 rho: 295.2340 | P_Bus0 rho: 8.5493
  LOAD Step 42 | S_RX0 rho: 295.1448 | P_Bus0 rho: 15.6091
  LOAD Step 43 | S_RX0 rho: 295.0388 | P_Bus0 rho: 22.3096
  LOAD Step 44 | S_RX0 rho: 294.9064 | P_Bus0 rho: 21.9651
  LOAD Step 45 | S_RX0 rho: 294.7666 | P_Bus0 rho: 14.8704
  LOAD Step 46 | S_RX0 rho: 294.6491 | P_Bus0 rho: 8.1596
  LOAD Step 47 | S_RX0 rho: 294.5635 | P_Bus0 rho: 8.5723
  LOAD Step 48 | S_RX0 rho: 294.4871 | P_Bus0 rho: 15.6395
  LOAD Step 49 | S_RX0 rho: 294.3880 | P_Bus0 rho: 22.3189
  LOAD Step 50 | S_RX0 rho: 294.2566 | P_Bus0 rho: 21.9454
  LOAD Step 51 | S_RX0 rho: 294.1148 | P_Bus0 rho: 14.8374
  LOAD Step 52 | S_RX0 rho: 293.9958 | P_Bus0 rho: 8.1445
  LOAD Step 53 | S_RX0 rho: 293.9109 | P_Bus0 rho: 8.5902
  LOAD Step 54 | S_RX0 rho: 293.8364 | P_Bus0 rho: 15.6680
  LOAD Step 55 | S_RX0 rho: 293.7387 | P_Bus0 rho: 22.3286
  LOAD Step 56 | S_RX0 rho: 293.6076 | P_Bus0 rho: 21.9277
  LOAD Step 57 | S_RX0 rho: 293.4667 | P_Bus0 rho: 14.8080
  LOAD Step 58 | S_RX0 rho: 293.3514 | P_Bus0 rho: 8.1350
  LOAD Step 59 | S_RX0 rho: 293.2732 | P_Bus0 rho: 8.6150
Settle Phase...
  Settle Step  0 | S_RX0 rho: 293.2159 | P_Bus0 rho: 8.6150
  Settle Step  1 | S_RX0 rho: 293.1804 | P_Bus0 rho: 8.6150
  Settle Step  2 | S_RX0 rho: 293.1655 | P_Bus0 rho: 8.6150
  Settle Step  3 | S_RX0 rho: 293.1679 | P_Bus0 rho: 8.6150
  Settle Step  4 | S_RX0 rho: 293.1845 | P_Bus0 rho: 8.6150

Starting QUERY tracking...
Step | S_RX0 rho / p | P_Bus0 rho / p | Val0 Bridge (S9) | Val0 Hub (S0) | Val0 Spoke (S1)
-----------------------------------------------------------------------------------------
   0 | 293.2/5.50  |  15.7/5.63  |  15.000/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
   1 | 293.2/5.50  |  16.4/5.71  |  15.000/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
   2 | 293.3/5.50  |  16.9/5.77  |  15.000/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
   3 | 293.2/5.50  |  17.2/5.81  |  15.000/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
   4 | 293.1/5.50  |  17.3/5.82  |  15.000/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
   5 | 292.9/5.50  |  17.2/5.80  |  15.001/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
   6 | 292.6/5.50  |  16.9/5.77  |  15.002/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
   7 | 292.3/5.50  |  16.4/5.72  |  15.003/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
   8 | 292.0/5.49  |  15.9/5.66  |  15.005/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
   9 | 291.8/5.49  |  15.4/5.59  |  15.008/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  10 | 291.7/5.49  |  14.9/5.53  |  15.017/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  11 | 291.7/5.49  |  14.6/5.49  |  15.031/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  12 | 291.8/5.49  |  14.4/5.47  |  15.046/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  13 | 292.1/5.50  |  14.4/5.47  |  15.060/5.55 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
