activeCount,avgRho,condition,constellationCount,entropy,jcrit,mass,maxFluxAbs,maxRho,maxStellarSemanticMass,rhoMaxId,starCount,strategy,synthCount,synthEventsSoFar,tick,totalEdges,totalFlux,totalNodes,totalStellarSemanticMass,vortNorm_global,vortNorm_global_ema
2,1.3481081081081079,Jcrit=8.0_strategy=blast,8,0.04009834632677703,8.0,199.51999999999998,0.08799120299953679,189.51374041926354,1.0,1,8,blast,8,8,0,877,0.5321469902581709,148,8.0,0.0,0.0
2,1.3473921411041139,Jcrit=8.0_strategy=blast,8,0.040727426184089734,8.0,199.41403688340884,0.13200572803586869,189.3660879159217,0.994018,1,8,blast,8,8,1,877,1.1322547173033544,148,7.952144,0.0,0.0
2,0.8409606494844338,Jcrit=8.0_strategy=blast,97,0.03806483164787616,8.0,199.3076739278108,0.1948018323215974,189.18481786921396,1.0,1,97,blast,97,97,2,1233,1.7954889194527401,237,96.904574,0.0,0.0
2,0.8064814583090043,Jcrit=8.0_strategy=blast,107,0.03880347637807984,8.0,199.20092020232406,0.22891243171318298,188.97766775726322,1.0,1,107,blast,107,107,3,1273,2.3369676641541206,247,106.324887,0.0,0.0
2,0.806044828467943,Jcrit=8.0_strategy=blast,107,0.040052842002874074,8.0,199.09307263158192,0.2770636855875843,188.74396610345514,0.994018,1,107,blast,107,107,4,1273,3.063726420360639,247,105.688848,0.0,0.0
2,0.8056052851482365,Jcrit=8.0_strategy=blast,107,0.04143012472298986,8.0,198.98450543161442,0.30464094702032063,188.49099545355227,0.988072,1,107,blast,107,107,5,1273,3.5525542512900614,247,105.056613,0.0,0.0
2,0.8051590498165473,Jcrit=8.0_strategy=blast,107,0.0429893292520984,8.0,198.8742853046872,0.3397856240043482,188.21767451257085,0.982161,1,107,blast,107,107,6,1273,4.298501083178343,247,104.428161,0.0,0.0
4,0.764493952737639,Jcrit=8.0_strategy=blast,120,0.044290172043628284,8.0,198.76842771178613,0.36318582998379656,187.92969372316418,1.0,1,120,blast,120,120,7,1325,4.729407777144852,260,116.803468,0.0,0.0
5,0.7611590634945785,Jcrit=8.0_strategy=blast,121,0.04611452764325179,8.0,198.662515572085,0.3887570600135756,187.62576402935153,1.0,1,121,blast,121,121,8,1329,5.460861570501242,261,117.104745,0.0,0.0
6,0.7607512888111222,Jcrit=8.0_strategy=blast,121,0.04802109651817041,8.0,198.5560863797029,0.4109979124145294,187.31074816807302,0.994018,1,121,blast,121,121,9,1329,5.8136612393734435,261,116.40422,0.0,0.0
